province_id,province,province_cn,year,total_generation_100m_kwh,clean_generation_100m_kwh,clean_generation_share_percent,nonclean_generation_100m_kwh,nonclean_generation_share_percent,windsolar_generation_share_percent
19,Henan,河南,2015,2624.634578,144.64577800000006,5.511082541,2479.9888,94.48891746,0.4800668293
19,Henan,河南,2016,2652.6630999999998,136.46309999999994,5.1443811319999995,2516.2,94.85561887,0.1130938942
19,Henan,河南,2017,2747.0,182.0999999999999,6.629049873,2564.9,93.37095013,2.338187113
19,Henan,河南,2018,3060.0,351.7000000000003,11.49346405,2708.2999999999997,88.50653595,4.597058823999999
19,Henan,河南,2019,2888.0,356.0,12.32686981,2532.0,87.67313019000001,6.569944598000001
19,Henan,河南,2020,2906.0,424.0999999999999,14.59394357,2481.9,85.40605642999999,8.629387474
19,Henan,河南,2021,3039.08,591.7800000000002,19.47234031,2447.2999999999997,80.52765969,15.268107450000002
19,Henan,河南,2022,3429.7699999999995,722.0699999999997,21.05301522,2707.7,78.94698478,17.1253466
19,Henan,河南,2023,3534.636579,884.136579,25.013507309999998,2650.5,74.98649268999999,20.89267124
20,Zhejiang,浙江,2000,624.8299999999999,85.64999999999998,13.7077285,539.18,86.2922715,
20,Zhejiang,浙江,2001,734.94,120.65000000000009,16.41630609,614.29,83.58369391,
20,Zhejiang,浙江,2002,778.1999999999999,148.07999999999993,19.02852737,630.12,80.97147263,
20,Zhejiang,浙江,2003,1101.74,343.76,31.20155391,757.98,68.79844609,
20,Zhejiang,浙江,2004,1231.9,396.9100000000001,32.21933599,834.99,67.78066401000001,
20,Zhejiang,浙江,2005,1456.42,419.21000000000004,28.78359264,1037.21,71.21640736,
20,Zhejiang,浙江,2006,1766.36,415.7399999999998,23.53653842,1350.6200000000001,76.46346158,
20,Zhejiang,浙江,2007,1915.1499999999999,345.1399999999999,18.02156489,1570.01,81.97843511,
20,Zhejiang,浙江,2008,1905.09,178.81999999999994,9.386433187,1726.27,90.61356681,
20,Zhejiang,浙江,2009,2246.2799999999997,405.9620889999999,18.07263961,1840.3179109999999,81.92736039,
20,Zhejiang,浙江,2010,2568.36,495.0323080000003,19.274257040000002,2073.327692,80.72574296,
20,Zhejiang,浙江,2011,2777.4,460.1594150000001,16.56799219,2317.240585,83.43200781,
20,Zhejiang,浙江,2012,2808.19,593.4185360000001,21.13170889,2214.771464,78.86829111,
20,Zhejiang,浙江,2013,2941.7994,532.8294000000001,18.112363470000002,2408.97,81.88763653,0.2379496032
20,Zhejiang,浙江,2014,2898.317849,580.5378490000003,20.030165059999998,2317.7799999999997,79.96983494,0.3001741166
20,Zhejiang,浙江,2015,3010.8423829999997,799.2327829999999,26.545155190000003,2211.6096,73.45484481,0.3786315771
20,Zhejiang,浙江,2016,3197.6564000000003,823.6564000000003,25.75812711,2374.0,74.24187289000001,0.14072806570000002
20,Zhejiang,浙江,2017,3336.0,781.9000000000001,23.4382494,2554.1,76.5617506,1.8432254200000002
20,Zhejiang,浙江,2018,3493.0,909.6000000000004,26.04065273,2583.3999999999996,73.95934727,3.74749499
20,Zhejiang,浙江,2019,3538.0,1043.6,29.4968909,2494.4,70.5031091,4.284906727
20,Zhejiang,浙江,2020,3531.0,1102.8000000000002,31.23194562,2428.2,68.76805438,4.741999434
20,Zhejiang,浙江,2021,4222.496,1187.7959999999998,28.130186509999998,3034.7000000000003,71.86981349,4.820134821
20,Zhejiang,浙江,2022,4349.86,1294.9599999999996,29.770153519999997,3054.9,70.22984648,7.137241199
20,Zhejiang,浙江,2023,4580.698258,1388.3982580000002,30.309751480000003,3192.3,69.69024852,8.874192909000001
21,Hainan,海南,2000,39.05,11.54,29.551856589999996,27.509999999999998,70.44814341,
21,Hainan,海南,2001,43.89,15.279999999999998,34.8143085,28.610000000000003,65.1856915,
21,Hainan,海南,2002,50.11,13.740000000000002,27.41967671,36.37,72.58032329000001,
21,Hainan,海南,2003,58.59,13.340000000000003,22.76839051,45.25,77.23160949,
21,Hainan,海南,2004,65.7,8.820000000000007,13.424657530000001,56.879999999999995,86.57534247000001,
21,Hainan,海南,2005,82.19,9.72999999999999,11.838423169999999,72.46000000000001,88.16157683,
21,Hainan,海南,2006,96.98,11.90000000000002,12.27057125,85.07999999999998,87.72942875000001,
21,Hainan,海南,2007,114.82,13.209999999999994,11.50496429,101.61,88.49503571,
21,Hainan,海南,2008,120.77,14.570000000000007,12.064254369999999,106.19999999999999,87.93574563,
21,Hainan,海南,2009,127.56,15.065656000000004,11.810642829999999,112.494344,88.18935717000001,
21,Hainan,海南,2010,152.66,15.266216999999983,10.00014215,137.393783,89.99985785,
21,Hainan,海南,2011,172.91,15.704746,9.082612919999999,157.205254,90.91738708,
21,Hainan,海南,2012,198.55,19.29635300000001,9.718636615,179.253647,90.28136338,
21,Hainan,海南,2013,231.43789999999998,30.927899999999994,13.36336875,200.51,86.63663125,2.073990474
21,Hainan,海南,2014,244.545067,30.52506699999998,12.48238919,214.02,87.51761081000001,1.962828389
21,Hainan,海南,2015,260.975004,32.75310400000001,12.55028393,228.2219,87.44971607000001,2.145799373
21,Hainan,海南,2016,287.7319,93.13189999999997,32.36759636,194.60000000000002,67.63240364,3.127911782
21,Hainan,海南,2017,305.0,110.39999999999998,36.19672131,194.60000000000002,63.80327869,2.698360656
21,Hainan,海南,2018,325.0,114.69999999999999,35.29230769,210.3,64.70769231,3.523076923
21,Hainan,海南,2019,346.0,136.2,39.36416185,209.8,60.63583815,5.419075145
21,Hainan,海南,2020,346.0,137.8,39.8265896,208.2,60.1734104,5.829479769
21,Hainan,海南,2021,391.22999999999996,145.52999999999997,37.19806763,245.7,62.80193237,5.403471104
21,Hainan,海南,2022,405.71,160.51,39.56274186,245.2,60.437258140000004,6.647605432000001
21,Hainan,海南,2023,478.89303900000004,172.89303900000004,36.10264191,306.0,63.89735809,9.745391183
22,Hubei,湖北,2000,559.1238,294.19379999999995,52.61693385,264.93,47.383066150000005,
