province,year,government_turnover,party_turnover,new_government_leader_names,new_party_leader_names,any_top_leader_turnover,joint_top_leader_turnover,leadership_data_observed,years_since_party_turnover,years_since_government_turnover
Fujian,2017,0.0,1.0,,于伟国,1.0,0.0,1,0.0,2.0
Fujian,2018,1.0,0.0,唐登杰,,1.0,0.0,1,1.0,0.0
Fujian,2019,,,,,,,0,,
Fujian,2020,,,,,,,0,,
Fujian,2021,,,,,,,0,,
Fujian,2022,,,,,,,0,,
Fujian,2023,,,,,,,0,,
Gansu,2000,1.0,0.0,陆浩,,1.0,0.0,1,,0.0
Gansu,2001,0.0,1.0,,宋照肃,1.0,0.0,1,0.0,1.0
Gansu,2002,0.0,0.0,,,0.0,0.0,1,1.0,2.0
Gansu,2003,0.0,1.0,,苏荣,1.0,0.0,1,0.0,3.0
Gansu,2004,0.0,0.0,,,0.0,0.0,1,1.0,4.0
Gansu,2005,0.0,0.0,,,0.0,0.0,1,2.0,5.0
Gansu,2006,1.0,1.0,徐守盛,陆浩,1.0,1.0,1,0.0,0.0
Gansu,2007,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Gansu,2008,0.0,0.0,,,0.0,0.0,1,2.0,2.0
Gansu,2009,0.0,0.0,,,0.0,0.0,1,3.0,3.0
Gansu,2010,1.0,0.0,刘伟平,,1.0,0.0,1,4.0,0.0
Gansu,2011,0.0,1.0,,王三运,1.0,0.0,1,0.0,1.0
Gansu,2012,0.0,0.0,,,0.0,0.0,1,1.0,2.0
Gansu,2013,0.0,0.0,,,0.0,0.0,1,2.0,3.0
Gansu,2014,0.0,0.0,,,0.0,0.0,1,3.0,4.0
Gansu,2015,0.0,0.0,,,0.0,0.0,1,4.0,5.0
Gansu,2016,1.0,0.0,林铎,,1.0,0.0,1,5.0,0.0
Gansu,2017,1.0,1.0,唐仁健,林铎,1.0,1.0,1,0.0,0.0
Gansu,2018,0.0,0.0,,,0.0,0.0,1,1.0,1.0
Gansu,2019,,,,,,,0,,
Gansu,2020,,,,,,,0,,
Gansu,2021,,,,,,,0,,
Gansu,2022,,,,,,,0,,
Gansu,2023,,,,,,,0,,
Guangdong,2000,0.0,0.0,,,0.0,0.0,1,,
Guangdong,2001,0.0,0.0,,,0.0,0.0,1,,
Guangdong,2002,0.0,1.0,,张德江,1.0,0.0,1,0.0,
Guangdong,2003,1.0,0.0,黄华华,,1.0,0.0,1,1.0,0.0
Guangdong,2004,0.0,0.0,,,0.0,0.0,1,2.0,1.0
Guangdong,2005,0.0,0.0,,,0.0,0.0,1,3.0,2.0
Guangdong,2006,0.0,0.0,,,0.0,0.0,1,4.0,3.0
Guangdong,2007,0.0,1.0,,汪洋,1.0,0.0,1,0.0,4.0
Guangdong,2008,0.0,0.0,,,0.0,0.0,1,1.0,5.0
Guangdong,2009,0.0,0.0,,,0.0,0.0,1,2.0,6.0
Guangdong,2010,0.0,0.0,,,0.0,0.0,1,3.0,7.0
Guangdong,2011,1.0,0.0,朱小丹,,1.0,0.0,1,4.0,0.0
Guangdong,2012,0.0,1.0,,胡春华,1.0,0.0,1,0.0,1.0
Guangdong,2013,0.0,0.0,,,0.0,0.0,1,1.0,2.0
Guangdong,2014,0.0,0.0,,,0.0,0.0,1,2.0,3.0
Guangdong,2015,0.0,0.0,,,0.0,0.0,1,3.0,4.0
Guangdong,2016,1.0,0.0,马兴瑞,,1.0,0.0,1,4.0,0.0
