province,role,Name,start_year,source_terms
Hebei,government,张庆伟,2011,2011.08-2012.01 | 2012.01-2017.03
Hebei,government,许勤,2017,2017.04-至今
Hebei,party,林铁,1949,1949.08-1966.08
Hebei,party,刘子厚,1966,1966.08-1979.12
Hebei,party,江一真,1979,1979.12-1982.06
Hebei,party,高扬,1982,1982.06-1985.05
Hebei,party,张曙光,1983,1983.04-1986.03
Hebei,party,邢崇智,1985,1985.05-1993.01
Hebei,party,程维高,1993,1993.01-1998.10
Hebei,party,叶连松,1998,1998.10-2000.06
Hebei,party,王旭东,2000,2000.06-2002.11
Hebei,party,白克明,2002,2002.11-2007.08
Hebei,party,张云川,2007,2007.08-2011.08
Hebei,party,张庆黎,2011,2011.08-2013.03
Hebei,party,周本顺,2013,2013.03-2015.07
Hebei,party,赵克志,2015,2015.07-2017.
Hebei,party,王东峰,2017,2017.10-2018.01
Heilongjiang,government,于毅夫,1949,1949.10-1952.11
Heilongjiang,government,赵德尊,1952,1952.11-1953.12
Heilongjiang,government,陈雷,1953,1953.12-1954.08 | 1979.12-1985.05
Heilongjiang,government,韩光,1954,1954.07-1956.05
Heilongjiang,government,欧阳钦,1956,1956.06-1958.09
Heilongjiang,government,李范五,1958,1958.09-文革初期
Heilongjiang,government,潘复生,1967,1967.03-1971.08
Heilongjiang,government,汪家道,1971,1971.08-1974.12
Heilongjiang,government,刘光涛,1977,1977.02-1977.12
Heilongjiang,government,杨易辰,1977,1977.12-1979.12
Heilongjiang,government,侯捷,1985,1985.05-1988.12
Heilongjiang,government,邵奇惠,1989,1989.01-1989.03 | 1989.03-1994.05
Heilongjiang,government,田凤山,1994,1994.05-1995.02 | 1995.02-2000.01
Heilongjiang,government,宋法棠,2000,2000.01-2000.02 | 2000.02-2003.04
Heilongjiang,government,张左已,2003,2003.04-2003.04 | 2003.04-2007.12
Heilongjiang,government,栗战书,2007,2007.12-2008.01 | 2008.01-2010.08
Heilongjiang,government,王宪魁,2010,2010.08-2010.11 | 2010.11-2013.03
Heilongjiang,government,陆昊,2013,2013.03-2013.06 | 2013.06-2018.03
Heilongjiang,government,王文涛,2018,2018.03-至今
Heilongjiang,party,张启龙,1949,1949.05-1950.03
Heilongjiang,party,赵德尊,1950,1950.03-1953.04
Heilongjiang,party,冯纪新,1953,1953.04-1954.07
Heilongjiang,party,欧阳钦,1954,1954.07-1965.10
Heilongjiang,party,潘复生,1965,1965.10-1971.06
Heilongjiang,party,汪家道,1971,1971.08-1974.12
Heilongjiang,party,刘光涛,1977,1977.02-1977.12
Heilongjiang,party,杨易辰,1977,1977.12-1983.01
Heilongjiang,party,李力安,1983,1983.01-1985.10
Heilongjiang,party,孙维本,1985,1985.10一1994.04
Heilongjiang,party,岳歧峰,1994,1994.04-1997.07
Heilongjiang,party,徐有芳,1997,1997.07-2003.04
Heilongjiang,party,宋法棠,2003,2003.03-2005.12
Heilongjiang,party,钱运录,2005,2005.12-2008.04
Heilongjiang,party,吉炳轩,2008,2008.04-2013.03
Heilongjiang,party,王宪魁,2013,2013.03-2017.03
Heilongjiang,party,张庆伟,2017,2017.03-至今
Henan,government,吴芝圃,1949,1949.05-1962.07
Henan,government,张玺,1949,1949.10-1952.11
Henan,government,潘复生,1952,1952.11-1958.08
Henan,government,刘建勋,1961,1961.07-文革 | 1971.03-1978.10
Henan,government,段君毅,1978,1978.10-1981.01
Henan,government,刘杰,1981,1981.01-1985.05
Henan,government,于明涛,1982,1982.12-1983.02
Henan,government,杨析综,1985,1985.05-1990.03
Henan,government,侯宗宾,1990,1990.03-1992.10
Henan,government,李长春,1992,1992.12-1998.02
Henan,government,马忠臣,1992,1992.12-1998.07
Henan,government,陈奎元,2000,2000.10-2002.12
Henan,government,李克强,2002,2002.12-2004.12
Henan,government,李成玉,2004,2004.12-2008.04
Henan,government,郭庚茂,2008,2008.04-2009.01 | 2009.01-2013.03
Henan,government,谢伏瞻,2013,2013.04-2016.04
