variable,module,province,province_cn,wind_code,wind_name,wind_source,wind_unit,wind_frequency,output_unit,annual_method,update_date
electricity_transfer_in_100m_kwh,flows,Jiangxi,江西,Z0671862,中国:江西:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
electricity_transfer_in_100m_kwh,flows,Hubei,湖北,Z0824437,中国:湖北:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
solar_capacity_10k_kw,capacity,Shaanxi,陕西,Z1013096,中国:陕西:装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_in_100m_kwh,flows,Gansu,甘肃,Z1196470,中国:甘肃:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
solar_capacity_10k_kw,capacity,Xinjiang,新疆,Z1254147,中国:新疆:装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_in_100m_kwh,flows,Sichuan,四川,Z1556576,中国:四川:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
solar_capacity_addition_10k_kw,capacity,Jilin,吉林,Z2204363,中国:吉林:当年新增装机容量:新能源:太阳能:集中式光伏,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_out_raw_10k_ton,flows,Hainan,海南,Z2209605,中国:海南:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
solar_capacity_addition_10k_kw,capacity,Shaanxi,陕西,Z2871677,中国:陕西:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_in_100m_kwh,flows,Hebei,河北,Z2993828,中国:河北:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
electricity_transfer_in_100m_kwh,flows,Shaanxi,陕西,Z3425552,中国:陕西:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
wind_capacity_addition_10k_kw,capacity,Anhui,安徽,Z5042587,中国:安徽:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
solar_capacity_addition_10k_kw,capacity,Sichuan,四川,Z5109240,中国:四川:当年新增装机容量:新能源:太阳能,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
electricity_transfer_in_100m_kwh,flows,Tianjin,天津,Z6983889,中国:天津:可供本地区消费的能源量:外省(区、市)调入量:实物量:电力,中国能源统计年鉴,亿千瓦时,年,100m_kwh,annual_observation,20240430
wind_capacity_addition_10k_kw,capacity,Shandong,山东,Z7298891,中国:山东:当年新增装机容量:新能源:风电,国家能源局,万千瓦,年,10k_kw,annual_observation,20240204
coal_transfer_out_raw_10k_ton,flows,Jilin,吉林,Z9083469,中国:吉林:可供本地区消费的能源量:本省(区、市)调出量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
coal_transfer_in_10k_ton,flows,Guizhou,贵州,Z9411632,中国:贵州:可供本地区消费的能源量:外省(区、市)调入量:实物量:煤,中国能源统计年鉴,万吨,年,10k_ton,annual_observation,20240430
