province,province_cn,variable,date,value,wind_code,wind_name,wind_unit,wind_frequency,wind_source,module,annual_method
Anhui,安徽,electricity_transfer_out_raw_100m_kwh,20191231,-763.83,K7535452,中国:安徽:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,亿千瓦时,年,中国能源统计年鉴,flows,annual_observation
Anhui,安徽,electricity_transfer_out_raw_100m_kwh,20201231,-806.58,K7535452,中国:安徽:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,亿千瓦时,年,中国能源统计年鉴,flows,annual_observation
Anhui,安徽,electricity_transfer_out_raw_100m_kwh,20211231,904.99,K7535452,中国:安徽:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,亿千瓦时,年,中国能源统计年鉴,flows,annual_observation
Anhui,安徽,electricity_transfer_out_raw_100m_kwh,20221231,-891.99,K7535452,中国:安徽:可供本地区消费的能源量:本省(区、市)调出量:实物量:电力,亿千瓦时,年,中国能源统计年鉴,flows,annual_observation
Anhui,安徽,nbs_hydro_generation_billion_kwh,20000131,1800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20000229,3500.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20000331,8600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20000430,15600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20000531,19600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20000630,29600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20000731,33300.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20000831,36200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20000930,37800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20001031,41700.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20001130,45400.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20001231,45800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20010131,2000.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20010228,7500.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20010331,12300.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20010430,17800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20010531,28700.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20010630,35200.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20010731,45100.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20010831,50600.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20010930,54800.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20011031,58300.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20011130,61000.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20011231,62700.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20020131,2500.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20020228,4900.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
Anhui,安徽,nbs_hydro_generation_billion_kwh,20020331,7000.0,S0075920,安徽:发电量:水力:累计值,万千瓦时,月,国家统计局,generation,december_ytd
