series_type,variable,reference_month,province,province_cn,code,name,unit,frequency,source,update_date
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Shanxi,山西,S5150472,中国:山西:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Sichuan,四川,S5150491,中国:四川:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Tianjin,天津,S5150470,中国:天津:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Xinjiang,新疆,S5150499,中国:新疆:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Xizang,西藏,S5150494,中国:西藏:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Yunnan,云南,S5150493,中国:云南:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
solar_utilization_hours,solar_utilization_hours_jan_nov,11,Zhejiang,浙江,S5150479,中国:浙江:平均利用小时:太阳能发电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Anhui,安徽,S5132520,中国:安徽:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Beijing,北京,S5132509,中国:北京:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Chongqing,重庆,S5132530,中国:重庆:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Fujian,福建,S5132521,中国:福建:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Gansu,甘肃,S5132536,中国:甘肃:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Guangdong,广东,S5132527,中国:广东:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Guangxi,广西,S5132528,中国:广西:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Guizhou,贵州,S5132532,中国:贵州:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Hainan,海南,S5132529,中国:海南:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Hebei,河北,S5132511,中国:河北:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Heilongjiang,黑龙江,S5132516,中国:黑龙江:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Henan,河南,S5132524,中国:河南:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Hubei,湖北,S5132525,中国:湖北:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Hunan,湖南,S5132526,中国:湖南:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Jiangsu,江苏,S5132518,中国:江苏:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Jiangxi,江西,S5132522,中国:江西:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Jilin,吉林,S5132515,中国:吉林:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Liaoning,辽宁,S5132514,中国:辽宁:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Neimenggu,内蒙古,S5132513,中国:内蒙古:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Ningxia,宁夏,S5132538,中国:宁夏:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Qinghai,青海,S5132537,中国:青海:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Shaanxi,陕西,S5132535,中国:陕西:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Shandong,山东,S5132523,中国:山东:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Shanghai,上海,S5132517,中国:上海:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Shanxi,山西,S5132512,中国:山西:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Sichuan,四川,S5132531,中国:四川:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Tianjin,天津,S5132510,中国:天津:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Xinjiang,新疆,S5132539,中国:新疆:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Xizang,西藏,S5132534,中国:西藏:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Yunnan,云南,S5132533,中国:云南:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
wind_utilization_hours,wind_utilization_hours,12,Zhejiang,浙江,S5132519,中国:浙江:发电设备平均利用小时:风电:累计值,小时,月,Wind,20260702
