province,province_cn,year,month,series_type,variable,value,unit,code
Hainan,海南,2023,4,solar_utilization_hours,solar_utilization_hours_jan_nov,390.0,小时,S5150489
Hainan,海南,2023,4,wind_utilization_hours,wind_utilization_hours,581.0,小时,S5132529
Hainan,海南,2023,5,power_output,power_output_jan_nov_10k_kwh,9466.0,万千瓦时,S5151475
Hainan,海南,2023,5,solar_utilization_hours,solar_utilization_hours_jan_nov,517.0,小时,S5150489
Hainan,海南,2023,5,wind_utilization_hours,wind_utilization_hours,724.0,小时,S5132529
Hainan,海南,2023,6,power_output,power_output_jan_nov_10k_kwh,13708.0,万千瓦时,S5151475
Hainan,海南,2023,6,solar_utilization_hours,solar_utilization_hours_jan_nov,623.0,小时,S5150489
Hainan,海南,2023,6,wind_utilization_hours,wind_utilization_hours,819.0,小时,S5132529
Hainan,海南,2023,7,power_output,power_output_jan_nov_10k_kwh,16314.0,万千瓦时,S5151475
Hainan,海南,2023,7,solar_utilization_hours,solar_utilization_hours_jan_nov,743.0,小时,S5150489
Hainan,海南,2023,7,wind_utilization_hours,wind_utilization_hours,932.0,小时,S5132529
Hainan,海南,2023,8,power_output,power_output_jan_nov_10k_kwh,21462.0,万千瓦时,S5151475
Hainan,海南,2023,8,solar_utilization_hours,solar_utilization_hours_jan_nov,867.0,小时,S5150489
Hainan,海南,2023,8,wind_utilization_hours,wind_utilization_hours,1069.0,小时,S5132529
Hainan,海南,2023,9,power_output,power_output_jan_nov_10k_kwh,23731.0,万千瓦时,S5151475
Hainan,海南,2023,9,solar_utilization_hours,solar_utilization_hours_jan_nov,972.0,小时,S5150489
Hainan,海南,2023,9,wind_utilization_hours,wind_utilization_hours,1126.0,小时,S5132529
Hainan,海南,2023,10,power_output,power_output_jan_nov_10k_kwh,29366.0,万千瓦时,S5151475
Hainan,海南,2023,10,solar_utilization_hours,solar_utilization_hours_jan_nov,1052.0,小时,S5150489
Hainan,海南,2023,10,wind_utilization_hours,wind_utilization_hours,1321.0,小时,S5132529
Hainan,海南,2023,11,power_output,power_output_jan_nov_10k_kwh,29669.04,万千瓦时,S5151475
Hainan,海南,2023,11,solar_utilization_hours,solar_utilization_hours_jan_nov,1180.0,小时,S5150489
Hainan,海南,2023,11,wind_utilization_hours,wind_utilization_hours,1463.0,小时,S5132529
Hainan,海南,2023,12,wind_utilization_hours,wind_utilization_hours,1653.0,小时,S5132529
Hebei,河北,2014,2,wind_utilization_hours,wind_utilization_hours,331.57,小时,S5132511
Hebei,河北,2014,3,wind_utilization_hours,wind_utilization_hours,523.14,小时,S5132511
Hebei,河北,2014,4,wind_utilization_hours,wind_utilization_hours,675.87,小时,S5132511
Hebei,河北,2014,5,wind_utilization_hours,wind_utilization_hours,908.61,小时,S5132511
Hebei,河北,2014,6,wind_utilization_hours,wind_utilization_hours,1006.01,小时,S5132511
Hebei,河北,2014,7,wind_utilization_hours,wind_utilization_hours,1110.2,小时,S5132511
Hebei,河北,2014,8,wind_utilization_hours,wind_utilization_hours,1190.24,小时,S5132511
Hebei,河北,2014,9,wind_utilization_hours,wind_utilization_hours,1294.77,小时,S5132511
Hebei,河北,2014,10,wind_utilization_hours,wind_utilization_hours,1443.83,小时,S5132511
Hebei,河北,2014,11,wind_utilization_hours,wind_utilization_hours,1628.65,小时,S5132511
Hebei,河北,2015,2,wind_utilization_hours,wind_utilization_hours,306.0,小时,S5132511
Hebei,河北,2015,3,wind_utilization_hours,wind_utilization_hours,515.0,小时,S5132511
Hebei,河北,2015,4,wind_utilization_hours,wind_utilization_hours,688.0,小时,S5132511
Hebei,河北,2015,5,wind_utilization_hours,wind_utilization_hours,886.86,小时,S5132511
Hebei,河北,2015,6,power_output,power_output_jan_nov_10k_kwh,1888827.0,万千瓦时,S5151457
Hebei,河北,2015,6,wind_utilization_hours,wind_utilization_hours,1025.47,小时,S5132511
Hebei,河北,2015,7,power_output,power_output_jan_nov_10k_kwh,2163795.0,万千瓦时,S5151457
Hebei,河北,2015,7,wind_utilization_hours,wind_utilization_hours,1114.13,小时,S5132511
Hebei,河北,2015,8,power_output,power_output_jan_nov_10k_kwh,2422970.0,万千瓦时,S5151457
Hebei,河北,2015,8,wind_utilization_hours,wind_utilization_hours,1182.69,小时,S5132511
Hebei,河北,2015,9,power_output,power_output_jan_nov_10k_kwh,2634202.0,万千瓦时,S5151457
Hebei,河北,2015,9,wind_utilization_hours,wind_utilization_hours,1281.04,小时,S5132511
Hebei,河北,2015,10,power_output,power_output_jan_nov_10k_kwh,2891754.0,万千瓦时,S5151457
Hebei,河北,2015,10,wind_utilization_hours,wind_utilization_hours,1502.74,小时,S5132511
Hebei,河北,2015,11,power_output,power_output_jan_nov_10k_kwh,3145358.0,万千瓦时,S5151457
Hebei,河北,2015,11,wind_utilization_hours,wind_utilization_hours,1619.43,小时,S5132511
Hebei,河北,2016,2,power_output,power_output_jan_nov_10k_kwh,627444.0,万千瓦时,S5151457
Hebei,河北,2016,2,wind_utilization_hours,wind_utilization_hours,349.54,小时,S5132511
Hebei,河北,2016,3,power_output,power_output_jan_nov_10k_kwh,950348.0,万千瓦时,S5151457
Hebei,河北,2016,3,wind_utilization_hours,wind_utilization_hours,563.09,小时,S5132511
Hebei,河北,2016,4,power_output,power_output_jan_nov_10k_kwh,1314880.0,万千瓦时,S5151457
Hebei,河北,2016,4,wind_utilization_hours,wind_utilization_hours,803.52,小时,S5132511
Hebei,河北,2016,5,power_output,power_output_jan_nov_10k_kwh,1766377.0,万千瓦时,S5151457
Hebei,河北,2016,5,wind_utilization_hours,wind_utilization_hours,1045.75,小时,S5132511
Hebei,河北,2016,6,power_output,power_output_jan_nov_10k_kwh,2088385.0,万千瓦时,S5151457
Hebei,河北,2016,6,wind_utilization_hours,wind_utilization_hours,1171.61,小时,S5132511
Hebei,河北,2016,7,power_output,power_output_jan_nov_10k_kwh,2310638.0,万千瓦时,S5151457
Hebei,河北,2016,7,wind_utilization_hours,wind_utilization_hours,1241.59,小时,S5132511
Hebei,河北,2016,8,power_output,power_output_jan_nov_10k_kwh,2578636.0,万千瓦时,S5151457
Hebei,河北,2016,8,wind_utilization_hours,wind_utilization_hours,1318.86,小时,S5132511
Hebei,河北,2016,9,power_output,power_output_jan_nov_10k_kwh,2842163.0,万千瓦时,S5151457
Hebei,河北,2016,9,wind_utilization_hours,wind_utilization_hours,1418.37,小时,S5132511
Hebei,河北,2016,10,power_output,power_output_jan_nov_10k_kwh,3197796.0,万千瓦时,S5151457
Hebei,河北,2016,10,wind_utilization_hours,wind_utilization_hours,1605.3,小时,S5132511
Hebei,河北,2016,11,power_output,power_output_jan_nov_10k_kwh,3689910.0,万千瓦时,S5151457
Hebei,河北,2016,11,wind_utilization_hours,wind_utilization_hours,1873.4,小时,S5132511
Hebei,河北,2017,2,power_output,power_output_jan_nov_10k_kwh,699612.0,万千瓦时,S5151457
Hebei,河北,2017,2,wind_utilization_hours,wind_utilization_hours,409.0,小时,S5132511
Hebei,河北,2017,3,power_output,power_output_jan_nov_10k_kwh,1068135.0,万千瓦时,S5151457
Hebei,河北,2017,3,wind_utilization_hours,wind_utilization_hours,583.0,小时,S5132511
Hebei,河北,2017,4,power_output,power_output_jan_nov_10k_kwh,1456010.0,万千瓦时,S5151457
Hebei,河北,2017,4,wind_utilization_hours,wind_utilization_hours,816.0,小时,S5132511
Hebei,河北,2017,5,power_output,power_output_jan_nov_10k_kwh,1838267.0,万千瓦时,S5151457
Hebei,河北,2017,5,wind_utilization_hours,wind_utilization_hours,1031.0,小时,S5132511
Hebei,河北,2017,6,power_output,power_output_jan_nov_10k_kwh,2157590.0,万千瓦时,S5151457
Hebei,河北,2017,6,wind_utilization_hours,wind_utilization_hours,1145.0,小时,S5132511
Hebei,河北,2017,7,power_output,power_output_jan_nov_10k_kwh,2513549.0,万千瓦时,S5151457
Hebei,河北,2017,7,wind_utilization_hours,wind_utilization_hours,1248.0,小时,S5132511
Hebei,河北,2017,8,power_output,power_output_jan_nov_10k_kwh,2802545.0,万千瓦时,S5151457
Hebei,河北,2017,8,wind_utilization_hours,wind_utilization_hours,1356.0,小时,S5132511
Hebei,河北,2017,9,power_output,power_output_jan_nov_10k_kwh,3118654.0,万千瓦时,S5151457
Hebei,河北,2017,9,wind_utilization_hours,wind_utilization_hours,1521.0,小时,S5132511
Hebei,河北,2017,10,power_output,power_output_jan_nov_10k_kwh,3403434.0,万千瓦时,S5151457
Hebei,河北,2017,10,wind_utilization_hours,wind_utilization_hours,1666.0,小时,S5132511
Hebei,河北,2017,11,power_output,power_output_jan_nov_10k_kwh,3873572.0,万千瓦时,S5151457
Hebei,河北,2017,11,wind_utilization_hours,wind_utilization_hours,1962.0,小时,S5132511
Hebei,河北,2018,2,power_output,power_output_jan_nov_10k_kwh,844596.0,万千瓦时,S5151457
Hebei,河北,2018,2,solar_utilization_hours,solar_utilization_hours_jan_nov,190.0,小时,S5150471
