Name,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
曹路宝,0000000170,访学,美国杜克大学桑福公共管理学院,,2008.03,2008.12
曹清尧,0000000173,本科,中南林学院,林学,1982.09,1986.07
曹清尧,0000000173,研究生,中央党校,经济学,2001.03,2004.01
曹清尧,0000000173,培训,中央党校,,2009.03,2010.01
曹清尧,0000000173,学习,北京林业大学,林业经济管理,2007.09,2013.01
曹全民,0000000174,,浙江大学,化学工程,1981.09,1985.08
曹全民,0000000174,研究生,浙江大学,研究生院环境工程,1985.08,1988.08
曹汝涛,0000000175,本科,河北师范学院,政教,1980.08,1984.07
曹汝涛,0000000175,研究生,天津财经学院,,1997.09,1999.09
曹汝涛,0000000175,培训,省委党校,,2002.02,2002.07
曹汝涛,0000000175,研究生,中央党校,经济法学,2004.09,2007.07
曹汝涛,0000000175,培训,中央党校,,2005.10,2006.01
曹玉宝,0000000186,本科,中央党校,经济管理,1990.07,1993.12
曹玉宝,0000000186,进修,天津商学院,,1987.09,1989.07
曹玉宝,0000000186,研究生,河北省委党校,经济管理,2003.09,2006.07
曹裕江,0000000190,培训,清华大学,工商管理,1999.09,1999.12
曹云平,0000000191,研修,北京大学,,1999.10,2000.01
曹云平,0000000191,研究生,中央党校,经济学,2000.09,2003.07
曹云平,0000000191,培训,中央党校,,2003.09,2004.01
曹子玉,0000000194,本科,河北师范大学,中文,1982.09,1986.07
曾德权,0000000197,本科,恩施卫校,,1980.09,1982.09
曾风保,0000000199,本科,,,,1993.07
曾广斌,0000000201,研究生,,,,
曾广河,0000000202,本科,华南师范大学,行政管理,,1985.00
曾国平,0000000203,大专,湖北农学院,,1980.09,1983.08
曾国平,0000000203,培训,省委党校,,2000.00,
曾永涛,0000000221,培训,贵州省委党校,,1996.09,1997.01
曾永祥,0000000223,培训,中国农科院,,2000.08,2000.09
曾永祥,0000000223,培训,全国市长研讨班,,2002.10,2001.11
曾永祥,0000000223,培训,贵州省委党校,,2004.10,2004.12
曾永祥,0000000223,进修,贵州省委党校,公共管理,2004.07,2007.05
曾瑜,0000000224,本科,西南政法学院,法学,1986.09,1990.07
曾瑜,0000000224,培训,遵义市委党校,,2003.09,2003.12
曾赞荣,0000000225,研究生,北京大学,人文地理学,,
曾智勇,0000000226,本科,省委党校,,,
柴宝良,0000000228,本科,河北工业大学,无机化工,1990.09,1994.07
柴宝良,0000000228,研究生,河北大学,,1998.07,2000.07
柴宝良,0000000228,研究生,省委党校,经济管理,2001.09,2004.07
柴宝良,0000000228,研究生,天津大学,工业工程,2003.12,2006.05
柴春,0000000229,,庆阳县蔡家庙八年制学校,,1982.07,1986.01
昌红梅,0000000231,本科,安徽建材工业学校,,,
昌红梅,0000000231,研究生,省委党校,,,
常冀剀,0000000233,大专,,,,
