province,year,high_energy_interest_share,green_credit_level,green_credit_proxy_pct,green_credit_interpolated_flag,iv_assets_assets_growth_loo,iv_outlets_assets_growth_loo,iv_assets_assets_cum2011_loo,iv_outlets_assets_cum2011_loo,iv_assets_outlets_growth_loo,iv_outlets_outlets_growth_loo,iv_assets_outlets_cum2011_loo,iv_outlets_outlets_cum2011_loo,post2012,iv_aw_acum_post,iv_ow_acum_post,iv_aw_ocum_post,iv_ow_ocum_post
Anhui,2015,0.334388897943977,0.6656111020560229,66.56111020560229,0,0.12384728284470142,0.11782570559862957,0.5092617145597897,0.5347092028596139,0.0315036707227569,0.012060352228231052,0.1437342533453921,0.060992834461779014,1,0.5092617145597897,0.5347092028596139,0.1437342533453921,0.060992834461779014
Anhui,2016,0.315332763217466,0.6846672367825339,68.46672367825339,0,0.11877622344545993,0.12368046561537292,0.6280379380052497,0.6583896684749868,0.034056230791092414,0.007252638113632816,0.17779048413648452,0.06824547257541183,1,0.6280379380052497,0.6583896684749868,0.17779048413648452,0.06824547257541183
Anhui,2017,0.320592242243529,0.679407757756471,67.9407757756471,1,0.04804523009159284,0.06660185255034602,0.6760831680968425,0.7249915210253328,0.00193489850150314,0.005022099785957662,0.17972538263798765,0.07326757236136949,1,0.6760831680968425,0.7249915210253328,0.17972538263798765,0.07326757236136949
Anhui,2018,0.326044103345862,0.673955896654138,67.39558966541381,0,0.012345252773727397,0.04477840867456805,0.68842842087057,0.7697699296999008,0.00711538807416391,0.013005563690747632,0.18684077071215158,0.08627313605211712,1,0.68842842087057,0.7697699296999008,0.18684077071215158,0.08627313605211712
Anhui,2019,0.387161889382317,0.612838110617683,61.283811061768304,0,0.09816655625772361,0.04312766133061925,0.7865949771282935,0.8128975910305201,-0.0020391845047156533,-0.048508523519206787,0.18480158620743592,0.03776461253291034,1,0.7865949771282935,0.8128975910305201,0.18480158620743592,0.03776461253291034
Anhui,2020,0.419573245794009,0.580426754205991,58.042675420599096,0,0.08851039060215221,0.14179283562500591,0.8751053677304457,0.9546904266555261,-0.027819019434316545,0.009361006194248388,0.15698256677311936,0.04712561872715872,1,0.8751053677304457,0.9546904266555261,0.15698256677311936,0.04712561872715872
Anhui,2021,0.41102357643515,0.58897642356485,58.897642356485,0,0.08554030080852636,0.09612638166920749,0.9606456685389722,1.0508168083247336,0.013703158841539297,0.004875432893249509,0.17068572561465867,0.05200105162040824,1,0.9606456685389722,1.0508168083247336,0.17068572561465867,0.05200105162040824
Anhui,2022,0.391846482823739,0.608153517176261,60.8153517176261,0,0.09667531006178183,0.0733834934109201,1.057320978600754,1.1242003017356534,-0.00038499456887856106,-0.010595797167096938,0.1703007310457801,0.041405254453311294,1,1.057320978600754,1.1242003017356534,0.1703007310457801,0.041405254453311294
Beijing,2005,0.555067691181852,0.444932308818148,44.4932308818148,0,,,-1.2004865403342437,-1.188868486252449,,,,,0,-0.0,-0.0,,
Beijing,2006,0.519761251814809,0.4802387481851909,48.0238748185191,0,0.2299811709802046,0.24102800511475603,-0.9705053693540391,-0.947840481137693,,,,,0,-0.0,-0.0,,
Beijing,2007,0.527596017069701,0.4724039829302989,47.2403982930299,0,0.21221784160852802,0.1734662404388725,-0.758287527745511,-0.7743742406988205,,,-0.05428769777950675,-0.043254391223843745,0,-0.0,-0.0,-0.0,-0.0
Beijing,2008,0.626301212873651,0.3736987871263489,37.36987871263489,0,0.16313317739096025,0.1933059977389013,-0.5951543503545509,-0.5810682429599192,-0.03733123211487198,-0.042866440928708435,-0.09161892989437871,-0.08612083215255217,0,-0.0,-0.0,-0.0,-0.0
Beijing,2009,0.709169054441261,0.290830945558739,29.0830945558739,0,0.24559556397512328,0.23707269569669603,-0.34955878637942756,-0.3439955472632232,0.03824285215304627,0.026494614227377138,-0.053376077741332455,-0.059626217925175036,0,-0.0,-0.0,-0.0,-0.0
Beijing,2010,0.654496469713861,0.345503530286139,34.5503530286139,0,0.186253644510432,0.18412540959399532,-0.16330514186899553,-0.1598701376692279,0.008654294625450948,0.024793879255110392,-0.04472178311588151,-0.03483233867006465,0,-0.0,-0.0,-0.0,-0.0
Beijing,2011,0.523149222557438,0.476850777442562,47.6850777442562,0,0.16330514186899553,0.1598701376692279,0.0,0.0,0.04472178311588151,0.03483233867006465,0.0,0.0,0,0.0,0.0,0.0,0.0
Beijing,2012,0.532937340895896,0.467062659104104,46.70626591041041,0,0.15243941811696804,0.15464976561833965,0.15243941811696804,0.15464976561833965,0.04046619470487592,0.02333734384011826,0.04046619470487592,0.02333734384011826,1,0.15243941811696804,0.15464976561833965,0.04046619470487592,0.02333734384011826
Beijing,2013,0.524149827501232,0.475850172498768,47.585017249876806,0,0.11396883532048335,0.11576454411286735,0.2664082534374514,0.270414309731207,0.04488070661156079,0.03686658667409346,0.0853469013164367,0.06020393051421172,1,0.2664082534374514,0.270414309731207,0.0853469013164367,0.06020393051421172
Beijing,2014,0.448361958084285,0.551638041915715,55.1638041915715,0,0.14407849466597025,0.1931127884950133,0.4104867481034217,0.4635270982262203,0.08577241293839727,0.05038523093127668,0.17111931425483398,0.1105891614454884,1,0.4104867481034217,0.4635270982262203,0.17111931425483398,0.1105891614454884
Beijing,2015,0.270081164287713,0.729918835712287,72.9918835712287,0,0.07722055047940685,0.016169052223152448,0.48770729858282846,0.47969615044937275,0.050685812803382885,0.03099333532727786,0.22180512705821687,0.14158249677276627,1,0.48770729858282846,0.47969615044937275,0.22180512705821687,0.14158249677276627
