province,year,bank_category,shock_assets_growth_loo,shock_assets_cum2011_loo,shock_outlets_growth_loo,shock_outlets_cum2011_loo
Beijing,2005,postal,,-1.1804718157778726,,
Beijing,2005,rural,,-1.3120739371478862,,
Beijing,2006,city,0.2698740910281714,-1.3405424940006885,,
Beijing,2006,foreign,0.4033279314633642,-0.8116756018368694,,
Beijing,2006,joint_stock,0.30748039470569033,-1.0759590594136093,,
Beijing,2006,large,0.2057885858575439,-0.8321294936259971,,
Beijing,2006,policy,0.08558853498402641,-1.0541038548232855,,
Beijing,2006,postal,0.2216405319054502,-0.9588312838724224,,
Beijing,2006,rural,0.273425561157854,-1.0386483759900322,,
Beijing,2007,city,0.20814933430102478,-1.1323931596996637,,-0.12168481897895056
Beijing,2007,foreign,0.3306939905089319,-0.4809816113279375,,-0.481838086892739
Beijing,2007,joint_stock,0.34230515389320715,-0.7336539055204021,,-0.12240617772945228
Beijing,2007,large,0.16637503190563763,-0.6657544617203595,,-0.004765475042857403
Beijing,2007,policy,0.17881668870828094,-0.8752871661150046,,0.010223387401663508
Beijing,2007,postal,0.07837514437908233,-0.8804561394933401,,-0.06305438992021983
Beijing,2007,rural,0.13089372021081935,-0.9077546557792129,,0.00794125306438076
Beijing,2008,city,0.20888721589969705,-0.9235059437999666,-0.059607401645889624,-0.18129222062484018
Beijing,2008,foreign,0.11847998840420892,-0.36250162292372856,0.20517774534515354,-0.27666034154758545
Beijing,2008,joint_stock,0.03907956615561048,-0.6945743393647916,-0.14644054140129015,-0.26884671913074243
Beijing,2008,large,0.1798103717645123,-0.48594408995584715,-0.002321381303742598,-0.007086856346600001
Beijing,2008,policy,0.26093652679304213,-0.6143506393219624,-0.011847203725991129,-0.0016238163243276205
Beijing,2008,postal,0.2890147523763389,-0.5914413871170012,-0.1508915902347816,-0.21394598015500144
Beijing,2008,rural,0.24802874324752366,-0.6597259125316892,-0.024665681248873028,-0.016724428184492268
Beijing,2009,city,0.30312809610170355,-0.6203778476982631,0.03592111592054259,-0.1453711047042976
Beijing,2009,foreign,-0.06770588357285412,-0.4302075064965827,0.05734576747047271,-0.21931457407711274
Beijing,2009,joint_stock,0.2616500338827805,-0.4329243054820111,0.1839717511539991,-0.08487496797674332
Beijing,2009,large,0.2494387423767126,-0.23650534757913455,-0.016366804451653394,-0.023453660798253395
Beijing,2009,policy,0.22659750427171765,-0.3877531350502448,0.0037848112225624675,0.002160994898234847
Beijing,2009,postal,0.223245310222266,-0.3681960768947352,0.0480395562663265,-0.16590642388867494
Beijing,2009,rural,0.2254686078612238,-0.4342573046704654,0.011968088004103095,-0.004756340180389174
Beijing,2010,city,0.3645883832205339,-0.2557894644777292,0.053055920486759334,-0.09231518421753826
Beijing,2010,foreign,0.24852646485630991,-0.18168104164027277,0.08687867179402708,-0.13243590228308566
Beijing,2010,joint_stock,0.13684528468855106,-0.29607902079346005,-0.03753120975270896,-0.12240617772945228
Beijing,2010,large,0.16218491466530516,-0.07432043291382939,0.020168957769360674,-0.0032847030288927215
Beijing,2010,policy,0.19674371998670104,-0.19100941506354374,-0.021823015530508805,-0.019662020632273958
Beijing,2010,postal,0.17059651463720016,-0.19759956225753506,0.11640605008708427,-0.04950037380159067
Beijing,2010,rural,0.21275292255318057,-0.22150438211728485,-0.012240386202567066,-0.01699672638295624
Beijing,2011,city,0.2557894644777292,0.0,0.09231518421753826,0.0
