province,bank_category,weight_assets_2011,weight_outlets_2011
Shandong,joint_stock,0.1450658991593689,0.0300191768697448
Shandong,large,0.43465365648198523,0.3161233220238973
Shandong,policy,0.0906793492567698,0.009440920489747751
Shandong,postal,0.04701567189063021,0.21131435314943206
Shandong,rural,0.17918253452905356,0.3853813246791562
Shanghai,city,0.0897253673813539,0.08380053113012688
Shanghai,foreign,0.12069380872079018,0.05930953083505459
Shanghai,joint_stock,0.34348349795230065,0.1684862791383889
Shanghai,large,0.36021440616718864,0.4455591619946887
Shanghai,policy,0.033497952300650446,0.004131012097964001
Shanghai,postal,0.013406408094435076,0.13455296547654175
Shanghai,rural,0.03897855938328114,0.10416051932723518
Shanxi,city,0.061246151781465925,0.029022895840051598
Shanxi,foreign,0.0004961507647635354,0.00016123831022250886
Shanxi,joint_stock,0.13938176361262827,0.016446307642695904
Shanxi,large,0.4376822439028358,0.26701064172847466
Shanxi,policy,0.0696197126392374,0.013544018058690745
Shanxi,postal,0.0683264672032144,0.19203482747500805
Shanxi,rural,0.2232475100958547,0.4817800709448565
Sichuan,city,0.11951322453573439,0.04093476746885398
Sichuan,foreign,0.006213655974488839,0.0017023910856612241
Sichuan,joint_stock,0.12270211967735885,0.013696510098274394
Sichuan,large,0.45230725942599886,0.24854909850653872
Sichuan,policy,0.0799568561245545,0.008744099667259924
Sichuan,postal,0.05901800787844682,0.2329180530836493
Sichuan,rural,0.16028887638341774,0.45345508008976243
Tianjin,city,0.13474825361682635,0.0970873786407767
Tianjin,foreign,0.029736229339237318,0.01717699775952203
Tianjin,joint_stock,0.30827957399702255,0.09895444361463779
Tianjin,large,0.35519334274916975,0.41150112023898433
Tianjin,policy,0.07119135778905981,0.004480955937266617
Tianjin,postal,0.024506622895751423,0.14936519790888722
Tianjin,rural,0.07634461961293278,0.22143390589992532
Xinjiang,city,0.1377355816919371,0.04572098475967175
Xinjiang,foreign,0.0017712909168201786,0.0005861664712778429
Xinjiang,joint_stock,0.08686410656086156,0.010844079718640093
Xinjiang,large,0.45564687544282273,0.37924970691676435
Xinjiang,policy,0.14538755845260026,0.027256740914419694
Xinjiang,postal,0.03847243871333428,0.18522860492379836
Xinjiang,rural,0.1341221482216239,0.3511137162954279
