province,city,metric,code,name,source,unit,update_date,n_years,first_year,last_year
浙江,杭州,gdp,M0027021,浙江:杭州:GDP,国家统计局,亿元,20260129,18,2005,2022
浙江,杭州,mining_emp,Y9060563,浙江:杭州:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
浙江,杭州,urban_unit_emp,B5697842,浙江:杭州:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
浙江,温州,gdp,M0058215,浙江:温州:GDP,浙江省统计局,亿元,20260127,18,2005,2022
浙江,温州,mining_emp,K4387878,浙江:温州:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
浙江,温州,urban_unit_emp,U0247684,浙江:温州:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
浙江,湖州,gdp,M0058217,浙江:湖州:GDP,浙江省统计局,亿元,20260209,18,2005,2022
浙江,湖州,mining_emp,V5773309,浙江:湖州:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
浙江,湖州,so2,R4305330,浙江:湖州:二氧化硫排放量,湖州市统计局,吨,20260224,17,2006,2022
浙江,湖州,urban_unit_emp,N4106193,浙江:湖州:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
浙江,绍兴,gdp,M0058218,浙江:绍兴:GDP,浙江省统计局,亿元,20260203,18,2005,2022
浙江,绍兴,mining_emp,D8801958,浙江:绍兴:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
浙江,绍兴,urban_unit_emp,U0688402,浙江:绍兴:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
浙江,舟山,gdp,M0058221,浙江:舟山:GDP,浙江省统计局,亿元,20260128,18,2005,2022
浙江,舟山,mining_emp,N0982931,浙江:舟山:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
浙江,舟山,urban_unit_emp,T8585044,浙江:舟山:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
浙江,衢州,gdp,M0058220,浙江:衢州:GDP,浙江省统计局,亿元,20260202,18,2005,2022
浙江,衢州,mining_emp,A9930590,浙江:衢州:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
浙江,衢州,urban_unit_emp,R2210108,浙江:衢州:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
浙江,金华,gdp,M0058219,浙江:金华:GDP,浙江省统计局,亿元,20260128,18,2005,2022
浙江,金华,mining_emp,O9211532,浙江:金华:就业人员数:城镇单位:采矿业,统计资料汇编,万人,20230531,4,2016,2019
浙江,金华,urban_unit_emp,D7801846,浙江:金华:就业人员数:城镇单位,统计资料汇编,万人,20230531,4,2016,2019
