province,province_cn,year,renewable_consumption_100m_kwh,renewable_consumption_share,renewable_consumption_share_yoy_pp,nonhydro_renewable_consumption_100m_kwh,nonhydro_renewable_consumption_share,nonhydro_renewable_consumption_share_yoy_pp,nonhydro_renewable_benchmark_2020_share,source_report,source_url,renewable_minimum_target_share,nonhydro_renewable_minimum_target_share,re_cons_sh,nonhydro_re_cons_sh
Beijing,北京,2018,150.75,0.132,1.1,133.42,0.11699999999999999,1.3,0.15,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.132,0.11699999999999999
Beijing,北京,2019,148.0,0.127,-0.5,141.0,0.12,0.3,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.127,0.12
Beijing,北京,2020,187.0,0.16399999999999998,3.7,183.0,0.161,4.1,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.155,0.15,0.16399999999999998,0.161
Beijing,北京,2021,244.0,0.198,3.4,239.0,0.19399999999999998,3.3,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.18,0.175,0.198,0.19399999999999998
Beijing,北京,2022,292.0,0.228,3.0,283.0,0.221,2.7,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.19,0.188,0.228,0.221
Beijing,北京,2023,,0.243,1.5,,0.228,0.7,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.201,0.2,0.243,0.228
Chongqing,重庆,2015,432.0,0.494,,12.0,0.013999999999999999,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.494,0.013999999999999999
Chongqing,重庆,2016,447.0,0.48700000000000004,-0.7,15.0,0.016,0.2,0.05,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.48700000000000004,0.016
Chongqing,重庆,2017,488.0,0.49200000000000005,0.5,24.0,0.024,0.8,0.05,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.49200000000000005,0.024
Chongqing,重庆,2018,511.94,0.45899999999999996,-3.3,32.59,0.028999999999999998,0.5,0.025,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.45899999999999996,0.028999999999999998
Chongqing,重庆,2019,529.0,0.455,-0.4,47.0,0.04,1.1,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.455,0.04
Chongqing,重庆,2020,610.0,0.514,5.9,49.0,0.042,0.2,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.4,0.035,0.514,0.042
Chongqing,重庆,2021,610.0,0.455,-5.9,58.0,0.043,0.1,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.435,0.04,0.455,0.043
Chongqing,重庆,2022,571.0,0.40700000000000003,-4.8,86.0,0.061,1.8,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.40700000000000003,0.053,0.40700000000000003,0.061
Chongqing,重庆,2023,,0.374,-3.3,,0.086,2.5,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.374,0.065,0.374,0.086
Fujian,福建,2015,504.0,0.272,,63.0,0.034,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.272,0.034
Fujian,福建,2016,704.0,0.358,8.6,74.0,0.037000000000000005,0.3,0.07,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.358,0.037000000000000005
Fujian,福建,2017,511.0,0.242,-11.6,95.0,0.045,0.8,0.07,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.242,0.045
Fujian,福建,2018,439.71,0.19,-5.2,114.44,0.049,0.4,0.06,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.19,0.049
Fujian,福建,2019,577.0,0.24,5.0,135.0,0.055999999999999994,0.7,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.24,0.055999999999999994
Fujian,福建,2020,473.0,0.19,-5.0,181.0,0.073,1.7,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.19,0.06,0.19,0.073
Fujian,福建,2021,539.0,0.19,0.0,258.0,0.091,1.8,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.19,0.075,0.19,0.091
Fujian,福建,2022,711.0,0.245,5.5,325.0,0.11199999999999999,2.1,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.195,0.08800000000000001,0.245,0.11199999999999999
Fujian,福建,2023,,0.231,-1.4,,0.11199999999999999,0.0,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.20600000000000002,0.1,0.231,0.11199999999999999
Gansu,甘肃,2015,466.0,0.424,,125.0,0.114,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.424,0.114
Gansu,甘肃,2016,457.0,0.429,0.5,133.0,0.125,1.1,0.13,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.429,0.125
Gansu,甘肃,2017,546.0,0.469,4.0,160.0,0.138,1.3,0.13,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.469,0.138
Gansu,甘肃,2018,624.51,0.484,1.5,173.28,0.134,-0.4,0.19,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.484,0.134
Gansu,甘肃,2019,696.0,0.539,5.5,219.0,0.16899999999999998,3.5,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.539,0.16899999999999998
Gansu,甘肃,2020,722.0,0.525,-1.4,245.0,0.17800000000000002,0.9,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.445,0.165,0.525,0.17800000000000002
Gansu,甘肃,2021,701.0,0.469,-5.6,283.0,0.18899999999999997,1.1,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.495,0.18,0.469,0.18899999999999997
Gansu,甘肃,2022,752.0,0.501,3.2,363.0,0.242,5.3,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.5,0.203,0.501,0.242
Gansu,甘肃,2023,,0.516,1.5,,0.273,3.1,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.5,0.215,0.516,0.273
Guangdong,广东,2015,1758.0,0.331,,97.0,0.018000000000000002,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.331,0.018000000000000002
Guangdong,广东,2016,1902.0,0.33899999999999997,0.8,104.0,0.019,0.1,0.07,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.33899999999999997,0.019
Guangdong,广东,2017,1932.0,0.324,-1.5,189.0,0.032,1.3,0.07,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.324,0.032
Guangdong,广东,2018,2079.53,0.32899999999999996,0.5,221.08,0.035,0.3,0.04,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.32899999999999996,0.035
Guangdong,广东,2019,2308.0,0.344,1.5,286.0,0.042,0.7,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.344,0.042
Guangdong,广东,2020,2294.0,0.331,-1.3,375.0,0.054000000000000006,1.2,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.285,0.045,0.331,0.054000000000000006
Guangdong,广东,2021,2281.0,0.29,-4.1,448.0,0.057,0.3,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.29,0.05,0.29,0.057
Guangdong,广东,2022,2385.0,0.303,1.3,637.0,0.081,2.4,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.29,0.063,0.303,0.081
Guangdong,广东,2023,,0.281,-2.2,,0.087,0.6,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.29100000000000004,0.075,0.281,0.087
Guangxi,广西,2015,770.0,0.5770000000000001,,14.0,0.01,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.5770000000000001,0.01
Guangxi,广西,2016,678.0,0.499,-7.8,18.0,0.013000000000000001,0.3,0.05,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.499,0.013000000000000001
Guangxi,广西,2017,744.0,0.516,1.7,44.0,0.03,1.7,0.05,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.516,0.03
Guangxi,广西,2018,783.33,0.46,-5.6,71.35,0.042,1.2,0.05,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.46,0.042
Guangxi,广西,2019,824.0,0.431,-2.9,126.0,0.065,2.3,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.431,0.065
Guangxi,广西,2020,878.0,0.433,0.2,180.0,0.08900000000000001,2.4,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.395,0.07,0.433,0.08900000000000001
Guangxi,广西,2021,964.0,0.431,-0.2,255.0,0.114,2.5,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.43,0.1,0.431,0.114
Guangxi,广西,2022,1073.0,0.484,5.3,290.0,0.131,1.7,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.44,0.113,0.484,0.131
Guangxi,广西,2023,,0.38799999999999996,-9.6,,0.161,3.0,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.38799999999999996,0.125,0.38799999999999996,0.161
Guizhou,贵州,2015,450.0,0.38299999999999995,,23.0,0.02,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.38299999999999995,0.02
Guizhou,贵州,2016,512.0,0.41200000000000003,2.9,57.0,0.046,2.6,0.05,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.41200000000000003,0.046
Guizhou,贵州,2017,493.0,0.35600000000000004,-5.6,59.0,0.043,-0.3,0.05,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.35600000000000004,0.043
Guizhou,贵州,2018,537.22,0.36200000000000004,0.6,66.68,0.045,0.2,0.05,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.36200000000000004,0.045
Guizhou,贵州,2019,549.0,0.35600000000000004,-0.6,81.0,0.052000000000000005,0.7,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.35600000000000004,0.052000000000000005
Guizhou,贵州,2020,646.0,0.40700000000000003,5.1,116.0,0.073,2.1,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.3,0.06,0.40700000000000003,0.073
Guizhou,贵州,2021,629.0,0.361,-4.6,171.0,0.098,2.5,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.355,0.085,0.361,0.098
Guizhou,贵州,2022,764.0,0.43799999999999994,7.7,246.0,0.141,4.3,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.35700000000000004,0.098,0.43799999999999994,0.141
Guizhou,贵州,2023,,0.369,-6.9,,0.16399999999999998,2.3,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.368,0.11,0.369,0.16399999999999998
Hainan,海南,2015,26.0,0.098,,11.0,0.04,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.098,0.04
Hainan,海南,2016,35.0,0.12300000000000001,2.5,13.0,0.045,0.5,0.1,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.12300000000000001,0.045
Hainan,海南,2017,41.0,0.133,1.0,14.0,0.047,0.2,0.1,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.133,0.047
Hainan,海南,2018,44.28,0.136,0.3,16.97,0.052000000000000005,0.5,0.05,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.136,0.052000000000000005
Hainan,海南,2019,52.0,0.145,0.9,24.0,0.068,1.6,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.145,0.068
Hainan,海南,2020,59.0,0.162,1.7,27.0,0.07400000000000001,0.6,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.135,0.065,0.162,0.07400000000000001
Hainan,海南,2021,71.0,0.175,1.3,38.0,0.094,2.0,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.16,0.08,0.175,0.094
Hainan,海南,2022,82.0,0.19699999999999998,2.2,46.0,0.111,1.7,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.16699999999999998,0.09300000000000001,0.19699999999999998,0.111
Hainan,海南,2023,,0.21600000000000003,1.9,,0.172,6.1,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.17800000000000002,0.105,0.21600000000000003,0.172
Hebei,河北,2015,260.0,0.08199999999999999,,241.0,0.076,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.08199999999999999,0.076
Hebei,河北,2016,335.0,0.10300000000000001,2.1,293.0,0.09,1.4,0.1,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.10300000000000001,0.09
Hebei,河北,2017,401.0,0.11599999999999999,1.3,357.0,0.10400000000000001,1.4,0.1,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.11599999999999999,0.10400000000000001
Hebei,河北,2018,448.38,0.122,0.6,415.31,0.113,0.9,0.15,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.122,0.113
Hebei,河北,2019,530.0,0.13699999999999998,1.5,505.0,0.13,1.7,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.13699999999999998,0.13
Hebei,河北,2020,559.0,0.142,0.5,530.0,0.135,0.5,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.13,0.125,0.142,0.135
Hebei,河北,2021,756.0,0.17600000000000002,3.4,721.0,0.168,3.3,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.165,0.16,0.17600000000000002,0.168
Hebei,河北,2022,930.0,0.214,3.8,904.0,0.20800000000000002,4.0,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.179,0.17800000000000002,0.214,0.20800000000000002
Hebei,河北,2023,,0.244,3.0,,0.23199999999999998,2.4,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.191,0.19,0.244,0.23199999999999998
Heilongjiang,黑龙江,2015,119.0,0.13699999999999998,,97.0,0.111,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.13699999999999998,0.111
Heilongjiang,黑龙江,2016,141.0,0.157,2.0,111.0,0.124,1.3,0.13,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.157,0.124
Heilongjiang,黑龙江,2017,188.0,0.20199999999999999,4.5,146.0,0.158,3.4,0.13,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.20199999999999999,0.158
Heilongjiang,黑龙江,2018,188.7,0.19399999999999998,-0.8,157.51,0.162,0.4,0.205,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.19399999999999998,0.162
Heilongjiang,黑龙江,2019,219.0,0.22,2.6,202.0,0.20199999999999999,4.0,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.22,0.20199999999999999
Heilongjiang,黑龙江,2020,238.0,0.23399999999999999,1.4,218.0,0.215,1.3,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.22,0.2,0.23399999999999999,0.215
Heilongjiang,黑龙江,2021,254.0,0.233,-0.1,253.0,0.23199999999999998,1.7,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.22,0.2,0.233,0.23199999999999998
Heilongjiang,黑龙江,2022,372.0,0.327,9.4,347.0,0.305,7.3,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.23399999999999999,0.215,0.327,0.305
Heilongjiang,黑龙江,2023,,0.326,-0.1,,0.309,0.4,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.245,0.22699999999999998,0.326,0.309
Henan,河南,2015,261.0,0.091,,67.0,0.023,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.091,0.023
Henan,河南,2016,311.0,0.10400000000000001,1.3,132.0,0.044000000000000004,2.1,0.07,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.10400000000000001,0.044000000000000004
Henan,河南,2017,461.0,0.146,4.2,255.0,0.081,3.7,0.07,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.146,0.081
Henan,河南,2018,578.39,0.16899999999999998,2.3,322.05,0.094,1.3,0.105,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.16899999999999998,0.094
Henan,河南,2019,692.0,0.205,3.6,444.0,0.131,3.7,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.205,0.131
Henan,河南,2020,731.0,0.21600000000000003,1.1,465.0,0.13699999999999998,0.6,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.175,0.125,0.21600000000000003,0.13699999999999998
Henan,河南,2021,1058.0,0.29,7.4,780.0,0.214,7.7,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.215,0.18,0.29,0.214
Henan,河南,2022,1086.0,0.278,-1.2,895.0,0.22899999999999998,1.5,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.248,0.198,0.278,0.22899999999999998
Henan,河南,2023,,0.335,5.7,,0.27899999999999997,5.0,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.26899999999999996,0.21,0.335,0.27899999999999997
Hubei,湖北,2015,616.0,0.37,,62.0,0.037000000000000005,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.37,0.037000000000000005
Hubei,湖北,2016,678.0,0.384,1.4,83.0,0.047,1.0,0.07,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.384,0.047
Hubei,湖北,2017,803.0,0.43,4.6,127.0,0.068,2.1,0.07,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.43,0.068
Hubei,湖北,2018,787.92,0.38,-5.0,155.76,0.075,0.7,0.1,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.38,0.075
Hubei,湖北,2019,721.0,0.325,-5.5,174.0,0.078,0.3,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.325,0.078
Hubei,湖北,2020,927.0,0.43200000000000005,10.7,194.0,0.091,1.3,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.325,0.08,0.43200000000000005,0.091
Hubei,湖北,2021,1026.0,0.415,-1.7,269.0,0.109,1.8,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.37,0.1,0.415,0.109
Hubei,湖北,2022,1004.0,0.379,-3.6,400.0,0.151,4.2,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.375,0.113,0.379,0.151
Hubei,湖北,2023,,0.451,7.2,,0.17300000000000001,2.2,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.38,0.125,0.451,0.17300000000000001
Hunan,湖南,2015,672.0,0.46399999999999997,,41.0,0.027999999999999997,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.46399999999999997,0.027999999999999997
Hunan,湖南,2016,743.0,0.49700000000000005,3.3,62.0,0.040999999999999995,1.3,0.07,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.49700000000000005,0.040999999999999995
Hunan,湖南,2017,798.0,0.504,0.7,115.0,0.07200000000000001,3.1,0.07,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.504,0.07200000000000001
Hunan,湖南,2018,735.14,0.42100000000000004,-7.9,177.86,0.102,3.0,0.13,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.42100000000000004,0.102
Hunan,湖南,2019,828.0,0.444,2.3,161.0,0.086,-1.6,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.444,0.086
Hunan,湖南,2020,909.0,0.47100000000000003,2.7,215.0,0.111,2.5,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.4,0.09,0.47100000000000003,0.111
Hunan,湖南,2021,1000.0,0.46399999999999997,-0.7,302.0,0.14,2.9,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.45,0.135,0.46399999999999997,0.14
Hunan,湖南,2022,1122.0,0.502,3.8,402.0,0.18,4.0,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.46399999999999997,0.14800000000000002,0.502,0.18
Hunan,湖南,2023,,0.46399999999999997,-3.8,,0.221,4.1,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.46399999999999997,0.16,0.46399999999999997,0.221
Jiangsu,江苏,2015,599.0,0.11699999999999999,,169.0,0.033,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.11699999999999999,0.033
Jiangsu,江苏,2016,699.0,0.128,1.1,227.0,0.042,0.9,0.07,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.128,0.042
Jiangsu,江苏,2017,856.0,0.147,1.9,316.0,0.054000000000000006,1.2,0.07,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.147,0.054000000000000006
Jiangsu,江苏,2018,902.91,0.147,0.0,427.43,0.07,1.6,0.075,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.147,0.07
Jiangsu,江苏,2019,941.0,0.15,0.3,467.0,0.07400000000000001,0.4,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.15,0.07400000000000001
Jiangsu,江苏,2020,1072.0,0.168,1.8,574.0,0.09,1.6,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.14,0.075,0.168,0.09
Jiangsu,江苏,2021,1321.0,0.18600000000000003,1.8,859.0,0.121,3.1,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.165,0.105,0.18600000000000003,0.121
