province,province_cn,year,renewable_consumption_100m_kwh,renewable_consumption_share,renewable_consumption_share_yoy_pp,nonhydro_renewable_consumption_100m_kwh,nonhydro_renewable_consumption_share,nonhydro_renewable_consumption_share_yoy_pp,nonhydro_renewable_benchmark_2020_share,source_report,source_url,renewable_minimum_target_share,nonhydro_renewable_minimum_target_share,re_cons_sh,nonhydro_re_cons_sh
Shandong,山东,2022,1277.0,0.16899999999999998,1.1,1232.0,0.163,1.4,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.15,0.145,0.16899999999999998,0.163
Shandong,山东,2023,,0.2,3.1,,0.195,3.2,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.171,0.157,0.2,0.195
Shanghai,上海,2015,419.0,0.298,,23.0,0.016,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.298,0.016
Shanghai,上海,2016,484.0,0.326,2.8,30.0,0.02,0.4,0.05,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.326,0.02
Shanghai,上海,2017,509.0,0.33299999999999996,0.7,41.0,0.027000000000000003,0.7,0.05,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.33299999999999996,0.027000000000000003
Shanghai,上海,2018,503.23,0.321,-1.2,51.93,0.033,0.6,0.03,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.321,0.033
Shanghai,上海,2019,542.0,0.345,2.4,66.0,0.042,0.9,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.345,0.042
Shanghai,上海,2020,561.0,0.35600000000000004,1.1,76.0,0.048,0.6,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.325,0.04,0.35600000000000004,0.048
Shanghai,上海,2021,558.0,0.319,-3.7,91.0,0.052000000000000005,0.4,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.315,0.04,0.319,0.052000000000000005
Shanghai,上海,2022,520.0,0.298,-2.1,105.0,0.06,0.8,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.298,0.052000000000000005,0.298,0.06
Shanghai,上海,2023,,0.303,0.5,,0.075,1.5,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.3,0.06,0.303,0.075
Shanxi,山西,2015,152.0,0.08800000000000001,,121.0,0.07,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.08800000000000001,0.07
Shanxi,山西,2016,218.0,0.121,3.3,179.0,0.1,3.0,0.1,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.121,0.1
Shanxi,山西,2017,280.0,0.141,2.0,238.0,0.12,2.0,0.1,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.141,0.12
Shanxi,山西,2018,355.25,0.16399999999999998,2.3,312.35,0.145,2.5,0.145,2018年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201906/t20190610_3673.htm,,,0.16399999999999998,0.145
Shanxi,山西,2019,417.0,0.184,2.0,368.0,0.162,1.7,,2019年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2020-05/06/c_139059627.htm,,,0.184,0.162
Shanxi,山西,2020,440.0,0.188,0.4,393.0,0.168,0.6,,2020年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2021-06/20/c_1310039970.htm,0.17,0.16,0.188,0.168
Shanxi,山西,2021,649.0,0.249,6.1,610.0,0.23399999999999999,6.6,,2021年度全国可再生能源电力发展监测评价报告,https://www.nea.gov.cn/2022-09/16/c_1310663387.htm,0.2,0.19,0.249,0.23399999999999999
Shanxi,山西,2022,675.0,0.248,-0.1,637.0,0.23399999999999999,0.0,,2022年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2023-09/07/c_1310741874.htm,0.214,0.203,0.248,0.23399999999999999
Shanxi,山西,2023,,0.278,3.0,,0.265,3.1,,2023年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/2024-10/10/c_1310787115.htm,0.225,0.215,0.278,0.265
Sichuan,四川,2015,1575.0,0.7909999999999999,,28.0,0.013999999999999999,,,2015年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201608/t20160823_2289.htm,,,0.7909999999999999,0.013999999999999999
Sichuan,四川,2016,1745.0,0.831,4.0,48.0,0.023,0.9,0.05,2016年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201704/t20170418_2773.htm,,,0.831,0.023
Sichuan,四川,2017,1842.0,0.835,0.4,73.0,0.033,1.0,0.05,2017年度全国可再生能源电力发展监测评价报告,https://zfxxgk.nea.gov.cn/auto87/201805/t20180522_3179.htm,,,0.835,0.033
