province,year,coal_unit_count,coal_unit_average_capacity_mw,coal_unit_utilization_hours,coal_unit_operating_hours,coal_unit_standby_hours,coal_unit_operating_factor,coal_unit_standby_factor,source_report,source_url
Hebei,2019,102,352.35,5160.73,7257.59,874.85,0.8284920091324202,0.09986872146118722,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Hebei,2020,102,372.84,4607.5,6827.04,1418.76,0.7772131147540984,0.16151639344262295,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Hebei,2021,108,379.21,,6742.26,1271.01,0.7696643835616439,0.14509246575342466,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Hebei,2022,115,378.43,,6726.54,1358.16,0.7678698630136986,0.15504109589041096,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Hebei,2023,119,380.84,,7012.57,1054.63,0.8005216894977168,0.12039155251141553,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Heilongjiang,2018,51,317.84,3974.25,6640.26,1500.96,0.7580205479452055,0.17134246575342466,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Heilongjiang,2019,50,320.0,4026.56,6965.46,1263.12,0.7951438356164383,0.1441917808219178,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Heilongjiang,2020,50,320.0,3954.47,7056.22,1193.58,0.8033037340619308,0.1358811475409836,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Heilongjiang,2021,51,333.14,,6923.64,1060.98,0.7903698630136987,0.12111643835616438,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Heilongjiang,2022,51,333.14,,6355.87,1799.33,0.7255559360730593,0.20540296803652966,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Heilongjiang,2023,51,333.14,,6989.52,1152.06,0.7978904109589041,0.13151369863013698,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Henan,2018,109,444.68,3894.79,6247.82,1955.0,0.7132214611872146,0.22317351598173515,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Henan,2019,101,461.98,3666.43,6085.53,2103.46,0.6946952054794521,0.24012100456621005,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Henan,2020,105,472.86,3251.08,5883.07,2348.58,0.6697484061930783,0.267370218579235,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Henan,2021,107,491.4,,5970.55,2035.1,0.6815696347031963,0.23231735159817352,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Henan,2022,110,488.09,,6552.01,1437.2,0.7479463470319635,0.1640639269406393,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Henan,2023,110,488.09,,6656.01,1484.52,0.759818493150685,0.16946575342465753,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Hubei,2018,48,467.92,4716.26,6288.36,1887.25,0.7178493150684931,0.21543949771689497,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Hubei,2019,49,465.51,5223.22,6895.0,1130.88,0.7871004566210046,0.12909589041095892,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Hubei,2020,56,479.11,3926.46,5552.91,2592.96,0.6321618852459017,0.2951912568306011,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Hubei,2021,57,488.25,,6499.41,1520.5,0.7419417808219178,0.17357305936073059,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Hubei,2022,57,488.25,,6896.29,1084.29,0.7872477168949772,0.12377739726027397,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Hubei,2023,59,494.07,,6342.82,1545.88,0.7240662100456621,0.17647031963470322,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Hunan,2018,39,459.62,4104.41,6211.56,1733.56,0.709082191780822,0.19789497716894977,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
Hunan,2019,39,459.62,3984.61,6233.6,1821.31,0.7115981735159818,0.207912100456621,2019年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20260612/6a2b67c840cdf.pdf
Hunan,2020,41,452.37,3636.99,6110.55,2046.5,0.6956454918032787,0.2329804189435337,2020年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20221220/63a11862d6604.pdf
Hunan,2021,41,451.83,,6913.66,1233.09,0.789230593607306,0.140763698630137,2021年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20230308/640801ab6e248.pdf
Hunan,2022,41,485.95,,6496.94,1388.78,0.7416598173515981,0.1585365296803653,2022年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20231213/657951e0b1c7a.pdf
Hunan,2023,42,504.33,,6639.6,1400.24,0.7579452054794521,0.1598447488584475,2023年全国电力可靠性年度报告,https://prpq.nea.gov.cn/uploads/file1/20240911/66e102e09bfea.pdf
Jiangsu,2018,133,519.02,4784.65,6568.38,1576.09,0.7498150684931507,0.17991894977168948,2018年全国电力可靠性年度报告,http://prpq.nea.gov.cn/9152.pdf
