edb_code,indicator,unit,freq,date,value
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20141031,16331.46
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20141130,16503.01
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20141231,16559.41
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20150131,16808.01
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20150228,17052.29
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20150331,17196.69
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20150430,17161.81
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20150531,17225.44
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20150630,17582.92
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20150731,17542.54
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20150831,17777.54
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20150930,17998.11
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20151031,18134.32
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20151130,18263.09
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20151231,18574.83
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20160131,18783.77
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20160229,18849.6
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20160331,19071.03
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20160430,19080.25
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20160531,19139.94
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20160630,19403.93
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20160731,19357.15
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20160831,19357.95
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20160930,19735.63
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20161031,20015.96
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20161130,20241.19
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20161231,20356.5
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20170131,20826.4
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20170228,20840.55
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20170331,21181.17
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20170430,21261.42
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20170531,21456.82
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20170630,21648.47
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20170731,21754.86
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20170831,21947.1
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20170930,22198.34
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20171031,22261.18
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20171130,22555.99
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20171231,22573.77
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20180131,23042.58
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20180228,23223.21
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20180331,23605.5
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20180430,23772.92
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20180531,23946.74
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20180630,24141.72
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20180731,24226.81
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20180831,24342.46
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20180930,24546.53
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20181031,24511.81
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20181130,24711.17
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20181231,25256.43
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20190131,26205.1
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20190228,26404.53
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20190331,26699.07
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20190430,26692.85
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20190531,26820.29
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20190630,27057.63
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20190731,27141.49
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20190831,27320.8
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20190930,27619.04
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20191031,27727.93
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20191130,28029.41
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20191231,28119.37
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20200131,28718
M0059249,山西:金融机构各项贷款余额:本外币,亿元,月,20200229,28890.61
