province,year,iv_bartik_gc_relative_raw,iv_bartik_gc_level_raw,iv_interpolated_flag,iv_bartik_gc_relative_z,iv_bartik_gc_level_z
Henan,2008,0.0009179695334946636,-0.0016299497189490512,0,-1.0969245036348039,-1.1583068234628309
Henan,2009,-0.01042714546490443,-0.004552238670840228,0,-1.4298791695398494,-1.5358055845640164
Henan,2010,-0.015409577525885985,-0.001410163011133601,0,-1.5761028087442812,-1.1299149665066095
Henan,2011,0.013417289371228968,0.005268876093010127,0,-0.7300964140825701,-0.2671224676577412
Henan,2012,0.022462919976741373,0.006964209388855622,0,-0.46462665757645905,-0.04812077775945346
Henan,2013,0.02558561921799037,0.008390823867955116,0,-0.37298216717343424,0.13616804764247992
Henan,2014,0.019733793637780286,0.00808150195075347,0,-0.5447206318138,0.09621010972210514
Henan,2015,0.019868974516052084,0.00850985676916111,0,-0.5407533644773219,0.15154461494136476
Henan,2016,0.03818043327979787,0.010348883391162397,0,-0.0033515280237183006,0.3891084845198022
Henan,2017,0.024925797923120673,0.008417735817063022,1,-0.3923464996479287,0.13964450996851996
Henan,2018,0.01150740228660507,0.006460039553132093,0,-0.7861474824293471,-0.1132490013894444
Henan,2019,0.03550601162837451,0.005059464468824882,0,-0.0818400376214208,-0.2941740802776902
Henan,2020,0.0004776622902214235,-0.0017261114977580902,0,-1.1098465719523398,-1.1707289189377517
Henan,2021,-0.005888013238766022,-0.0027830572534142755,0,-1.2966654247637053,-1.3072642581461327
Henan,2022,0.009351763342405894,-0.003805748848418451,0,-0.8494108380303278,-1.439374674487004
Hubei,2007,-0.012393819788015834,-0.003388696395050647,0,-1.4875968209068022,-1.3855001990150733
Hubei,2008,-0.014572153841172717,-0.0029694063831926447,0,-1.5515262290265772,-1.331336677671277
Hubei,2009,-0.02444403718168675,-0.006753085490064453,0,-1.8412447219601653,-1.8201090745022588
Hubei,2010,-0.010242012143712651,-0.0013637754972258668,0,-1.4244459056977463,-1.123922667552257
Hubei,2011,0.036355420986501255,0.008353093022010176,0,-0.05691170422932933,0.13129400957369242
Hubei,2012,0.04462561192577378,0.010235141238070919,0,0.1858005698679343,0.37441537148961146
Hubei,2013,0.05466690080539397,0.01269928759868183,0,0.4804907501474432,0.6927316686171154
Hubei,2014,0.054076731020513726,0.012796045285209461,0,0.46317053932721064,0.7052307429360871
Hubei,2015,0.0669286785503569,0.0145301796039042,0,0.8403474914014677,0.9292447154307174
Hubei,2016,0.08716825345076502,0.017090048472984874,0,1.4343353795785772,1.259926363470371
Hubei,2017,0.0784665456437511,0.014679546556928897,1,1.1789590157341845,0.9485398093261351
Hubei,2018,0.06964137278834662,0.012235151276542741,0,0.9199592189017933,0.6327749396714107
Hubei,2019,0.07070168423079268,0.00878859712742696,0,0.9510770737780764,0.1875520535097386
Hubei,2020,0.0287108530005884,-0.0009940234682940903,0,-0.28126329344611445,-1.0761584200277043
Hubei,2021,0.02298643232282801,-0.002509223213910237,0,-0.4492626988759048,-1.2718906135949293
Hubei,2022,0.008613796206063172,-0.006026519534286712,0,-0.8710685824749249,-1.7262519122983309
Hunan,2007,9.266345440682119e-05,-0.0022266403133961716,0,-1.1211454577521371,-1.2353867987400005
Hunan,2008,-0.00859081122645616,-0.0025583008606262156,0,-1.3759867186533827,-1.278230421580397
Hunan,2009,-0.01795274109699783,-0.0059397132600253685,0,-1.650739176668354,-1.7150383528150157
Hunan,2010,-0.014249818348080617,-0.0017541573078154419,0,-1.542066377237771,-1.1743518524412568
Hunan,2011,0.02571336001165466,0.007324818127520513,0,-0.3692332502798689,-0.0015376525691260525
Hunan,2012,0.034865276828403076,0.00920911561218212,0,-0.10064422261983891,0.24187426792063302
Hunan,2013,0.04561117500462931,0.011844220375196033,0,0.21472472142523408,0.5822748237129778
Hunan,2014,0.04314240542544743,0.011896321988868619,0,0.14227165677590858,0.5890052651363166
Hunan,2015,0.05123311800534339,0.0132761873369253,0,0.379716627968632,0.7672550781949299
Hunan,2016,0.07223611126780671,0.015957530177195554,0,0.9961091991938847,1.1136286288441566
Hunan,2017,0.059418573619576386,0.013377750008875162,1,0.6199421029595955,0.780374856377846
Hunan,2018,0.046425772504568044,0.010761197927826455,0,0.2386314018315111,0.4423709200068755
Hunan,2019,0.0565710228653351,0.008087670068862818,0,0.5363726274487828,0.09700690188843
Hunan,2020,0.016931863102075357,-0.0010797940154530145,0,-0.6269512522646657,-1.0872381851790975
