province,year,green_credit_high_energy_interest_share,green_credit_proxy,green_credit_proxy_pct,green_credit_interpolated_flag
Guangdong,2021,0.318669633538783,0.6813303664612169,68.1330366461217,0
Guangdong,2022,0.31614885928865,0.68385114071135,68.385114071135,0
Guangxi,2005,0.560158769536095,0.439841230463905,43.9841230463905,0
Guangxi,2006,0.581086686022397,0.418913313977603,41.891331397760304,0
Guangxi,2007,0.61377427184466,0.38622572815533995,38.62257281553399,0
Guangxi,2008,0.692274788262469,0.307725211737531,30.7725211737531,0
Guangxi,2009,0.697811591725081,0.302188408274919,30.2188408274919,0
Guangxi,2010,0.670404984423676,0.329595015576324,32.9595015576324,0
Guangxi,2011,0.619436553030303,0.380563446969697,38.0563446969697,0
Guangxi,2012,0.586652871184687,0.413347128815313,41.3347128815313,0
Guangxi,2013,0.572276520730129,0.427723479269871,42.772347926987095,0
Guangxi,2014,0.555360501567398,0.444639498432602,44.463949843260195,0
Guangxi,2015,0.55438396919846,0.44561603080154,44.561603080154,0
Guangxi,2016,0.546745832381822,0.45325416761817805,45.325416761817806,0
Guangxi,2017,0.552402874994128,0.447597125005872,44.7597125005872,1
Guangxi,2018,0.558371215784892,0.441628784215108,44.1628784215108,0
Guangxi,2019,0.583278004363084,0.41672199563691603,41.672199563691606,0
Guangxi,2020,0.623362494900503,0.376637505099497,37.6637505099497,0
Guangxi,2021,0.682844033274891,0.31715596672510904,31.715596672510905,0
Guangxi,2022,0.635445257700519,0.36455474229948104,36.4554742299481,0
Guizhou,2005,0.722632044850989,0.277367955149011,27.736795514901104,0
Guizhou,2006,0.7352725494989,0.2647274505011,26.472745050110003,0
Guizhou,2007,0.759270275629586,0.24072972437041396,24.072972437041397,0
Guizhou,2008,0.775299238302503,0.22470076169749698,22.470076169749696,0
Guizhou,2009,0.762738179251941,0.23726182074805902,23.7261820748059,0
Guizhou,2010,0.772094012549187,0.22790598745081303,22.790598745081304,0
Guizhou,2011,0.751926403522566,0.248073596477434,24.8073596477434,0
Guizhou,2012,0.737022969795623,0.262977030204377,26.2977030204377,0
