outcome,horizon_years,sample_start_year,controls,model,threshold_share,threshold_percent,threshold_term_coefficient,clustered_standard_error,normal_approximation_p,sse,observations,provinces,below_observations,above_observations,sse_improvement_over_worst_percent
windsolar_gen_sh,1,2016,True,jump,0.532,53.2,0.027799268049793675,0.010601589362622453,0.008736945535098826,0.07908622171578962,217,31,47,170,4.57285246749105
windsolar_gen_sh,2,2016,True,jump,0.5239,52.39,0.034068583255490656,0.013378497275826143,0.010880362035486358,0.07752452650442204,186,31,39,147,5.017428599816333
windsolar_gen_sh,3,2016,True,jump,0.5494,54.94,0.03664343421058572,0.03240475217483576,0.25813745526989507,0.06742716402612409,155,31,40,115,5.134345718115267
windsolar_gen_sh,1,2013,False,kink,0.649,64.9,-0.08869798854911515,0.05590909301713088,0.11263317924405383,0.1446866048503003,309,31,112,197,0.6027638096778802
windsolar_gen_sh,2,2013,False,kink,0.8415,84.15,-0.28127129776576054,0.10636793850451973,0.00818542509609487,0.17557225852414315,278,31,190,88,2.750427492287446
windsolar_gen_sh,3,2013,False,kink,0.8199,81.99,-0.3912860907298041,0.1450880738949336,0.006999108857813893,0.17357577860421203,247,31,148,99,5.294159236554139
windsolar_gen_sh,1,2014,False,kink,0.6478,64.78,-0.12171091851683948,0.07232142556321533,0.09239126194932472,0.14194226177054112,279,31,105,174,0.8341747445535959
windsolar_gen_sh,2,2014,False,kink,0.8578,85.78,-0.4090058673467585,0.1510676665841081,0.006780537497481561,0.16458897440716422,248,31,180,68,3.866477742977346
windsolar_gen_sh,3,2014,False,kink,0.8666,86.66,-0.5358575734520711,0.22072107032779678,0.015192433294994664,0.11431897432518393,217,31,156,61,7.448034305556492
windsolar_gen_sh,1,2015,False,kink,0.647,64.7,-0.183651089459648,0.10102631401050419,0.06908644995947344,0.13815973920345664,248,31,93,155,1.419903355886375
windsolar_gen_sh,2,2015,False,kink,0.8903,89.03,-0.6821790933781968,0.2633878103743066,0.009597099458093646,0.1105740848446389,217,31,173,44,6.95359809866601
windsolar_gen_sh,3,2015,False,kink,0.8879,88.79,-0.7238993080072155,0.2777638596920934,0.00915615155742256,0.09799295199077154,186,31,145,41,7.9753511435333015
windsolar_gen_sh,1,2016,False,kink,0.894,89.4,-0.7563272804845155,0.26863425599515195,0.0048708431609490715,0.08673780067455404,217,31,181,36,7.153878699561526
windsolar_gen_sh,2,2016,False,kink,0.8924,89.24,-0.83499101925303,0.31271101738185464,0.00758132553517137,0.08787062925439018,186,31,153,33,7.233364178918863
windsolar_gen_sh,3,2016,False,kink,0.8928,89.28,-0.9042075221429096,0.348795128432596,0.009531600980655888,0.07707449495241186,155,31,125,30,8.162186290504486
windsolar_gen_sh,1,2013,True,kink,0.4267,42.67,0.08948398711960036,0.07690698340926934,0.24461239985373948,0.13937380899366333,309,31,47,262,0.2769031229639396
windsolar_gen_sh,2,2013,True,kink,0.8778,87.78,-0.2319040743824612,0.11719283883965059,0.047835755923711594,0.1557488317938054,278,31,212,66,1.4670503449966306
windsolar_gen_sh,3,2013,True,kink,0.8199,81.99,-0.23829367346763905,0.13207318333484222,0.07119137388552531,0.1531129893005559,247,31,148,99,2.04942615686656
