outcome,horizon_years,sample_start_year,controls,model,threshold_share,threshold_percent,threshold_term_coefficient,clustered_standard_error,normal_approximation_p,sse,observations,provinces,below_observations,above_observations
windsolar_gen_sh,3,2013,True,jump,0.515,51.5,0.018920187209999568,0.009573805308184732,0.04812700784595694,0.15480808702359178,247,31,49,198
windsolar_gen_sh,3,2013,True,jump,0.5187,51.870000000000005,0.018920187209999568,0.009573805308184732,0.04812700784595694,0.15480808702359178,247,31,49,198
windsolar_gen_sh,3,2013,True,jump,0.5224,52.239999999999995,0.019711383723092488,0.008486526509925959,0.020196993548309537,0.15440611522566805,247,31,50,197
windsolar_gen_sh,3,2013,True,jump,0.5261,52.61,0.019711383723092488,0.008486526509925959,0.020196993548309537,0.15440611522566805,247,31,50,197
windsolar_gen_sh,3,2013,True,jump,0.5297,52.96999999999999,0.019711383723092488,0.008486526509925959,0.020196993548309537,0.15440611522566805,247,31,50,197
windsolar_gen_sh,3,2013,True,jump,0.5334,53.339999999999996,0.018741676782202343,0.008076707894117185,0.020316011831740206,0.15443542797587267,247,31,51,196
windsolar_gen_sh,3,2013,True,jump,0.5371,53.71,0.018741676782202343,0.008076707894117185,0.020316011831740206,0.15443542797587267,247,31,51,196
windsolar_gen_sh,3,2013,True,jump,0.5407,54.06999999999999,0.01915114129130904,0.007795695605190015,0.014024696911428998,0.15412320293079684,247,31,53,194
windsolar_gen_sh,3,2013,True,jump,0.5444,54.44,0.01915114129130904,0.007795695605190015,0.014024696911428998,0.15412320293079684,247,31,53,194
windsolar_gen_sh,3,2013,True,jump,0.5481,54.81,0.014490441416241309,0.017352224863881768,0.40367443568781847,0.15495296469327702,247,31,58,189
windsolar_gen_sh,3,2013,True,jump,0.5518,55.17999999999999,0.014490441416241309,0.017352224863881768,0.40367443568781847,0.15495296469327702,247,31,58,189
windsolar_gen_sh,3,2013,True,jump,0.5554,55.54,0.014490441416241309,0.017352224863881768,0.40367443568781847,0.15495296469327702,247,31,58,189
windsolar_gen_sh,3,2013,True,jump,0.5591,55.910000000000004,0.017040824454608906,0.017125261311862424,0.31970248489995157,0.15446801355976916,247,31,59,188
windsolar_gen_sh,3,2013,True,jump,0.5628,56.279999999999994,0.01383833194017691,0.01854173686917915,0.4554655702554773,0.15506742412862534,247,31,60,187
windsolar_gen_sh,3,2013,True,jump,0.5664,56.64,0.01383833194017691,0.01854173686917915,0.4554655702554773,0.15506742412862534,247,31,60,187
