lower_threshold_percent,upper_threshold_percent,middle_vs_low_coefficient,high_vs_middle_coefficient,bootstrap_repetition
77.74,84.07,0.050276543526022004,-0.022684497867424647,210
60.99,86.27,-0.04769938502160201,-0.03117089206864397,211
57.34,77.44,0.04876320360714343,0.06373569805919507,212
61.07,89.17,-0.03850114413783464,-0.05222879496506882,213
77.35,87.72999999999999,0.020423165390397326,0.020942530535255938,214
77.91,92.27,0.05156014988343867,-0.0414635508702734,215
77.49000000000001,92.42,0.03550561625809769,-0.024204451242848323,216
76.16000000000001,85.16,0.03717127618706926,-0.04507168100901209,217
77.59,90.47,0.03441683285680288,-0.01953355990959777,218
77.49000000000001,92.23,0.02390743945957141,-0.021925862017553196,219
73.94,77.82,-0.021079677374529975,0.04406790739390833,220
77.42,85.2,0.03198358417606672,-0.03830477347000866,221
77.49000000000001,90.31,0.036928257695900045,-0.023835652173065342,222
87.75,90.29,0.027299683965207155,-0.02434651486016281,223
77.57,92.23,0.02316528041591884,-0.0295981750876177,224
77.72,92.16,0.040668228461244224,-0.02094610823321067,225
77.64999999999999,87.64999999999999,0.0436363393465379,0.015422353736291063,226
61.12,86.04,-0.06183194738942784,-0.04394692291028849,227
60.17,89.66,-0.06124897201382719,-0.03419461296877438,228
77.75,89.64,0.028038737293968115,-0.03700852761127815,229
57.220000000000006,77.57,0.022122175041464225,0.03953562111690469,230
60.91,89.24,-0.07710625684450965,-0.03589143587133402,231
77.52,85.14,0.02837650450252827,-0.03069922600441324,232
77.42,85.58,0.04048337596077727,-0.017385647637559478,233
77.59,84.03,0.04581408387597876,-0.01656144934050633,234
60.73,90.64,-0.02622845390847557,-0.04576548875086699,235
60.75000000000001,90.49000000000001,-0.0536217691138013,-0.044938133415273876,236
60.940000000000005,90.47,-0.09377256568585793,-0.05581153114175394,237
60.9,84.08,-0.0653581387397887,-0.03500855704487822,238
58.9,88.55,-0.08932866576496361,-0.03625443131607396,239
77.82,94.24,0.02928695822033618,-0.03631690579730508,240
85.46000000000001,90.75999999999999,-0.032963591647518636,-0.03317498726604046,241
81.82000000000001,90.33,-0.024061570934726082,-0.024527691362249773,242
60.73,91.08000000000001,-0.048430312501563044,-0.024815666313183618,243
77.47,90.39,0.035644257914737534,-0.029804869053722285,244
77.71000000000001,83.64,0.05004681952127978,-0.01600741240077059,245
60.64000000000001,77.38000000000001,-0.031864422755510255,0.034389393673026195,246
77.57,92.33,0.039687653391976774,-0.01857662618071536,247
60.95,90.67,-0.06763299475963713,-0.04243867859711113,248
77.64,85.75,0.0512693205496384,-0.03281062978564339,249
77.51,92.21000000000001,0.02416840661957914,-0.038483334982533465,250
84.42,92.12,-0.04191569344131983,-0.020796698035180056,251
66.53999999999999,92.60000000000001,-0.025215949425183314,-0.038157057459143516,252
61.12,90.78,-0.07662257708274692,-0.04413679591816941,253
61.050000000000004,77.61,-0.06657189577069982,0.037174555327834494,254
77.5,90.2,0.03983398860365956,-0.023621408201617327,255
60.660000000000004,86.14,-0.025669800961343064,-0.028808291391479914,256
77.83,87.81,0.047348491017608386,0.030613303786593236,257
60.540000000000006,77.77,-0.02426729958154011,0.03859540265426904,258
73.7,77.66999999999999,-0.019942103711423763,0.028064620933751262,259
60.62,89.85,-0.022130986234088545,-0.0431424369708301,260
60.95,84.08,-0.045019169349534774,-0.03850599003543097,261
59.58,91.39,-0.07891352437250035,-0.029327061085436007,262
77.7,92.43,0.040195616114978926,-0.04193053748697087,263
74.22,83.94,-0.03318559112332637,-0.03478511309102871,264
80.17,90.57,0.03716754899819093,-0.021528680975667822,265
77.38000000000001,94.17,0.030107375292053772,-0.013469083377439888,266
59.28,89.32,-0.09994224991089877,-0.053388111511871686,267
77.5,92.96,0.030709285619893403,-0.018795511812122453,268
77.66999999999999,92.29,0.03151483346938991,-0.02014107805307927,269
64.92,76.03,0.022928628104540487,0.040855339274937154,270
84.08,92.16,-0.022378906333693552,-0.04305834990152084,271
77.59,92.2,0.025955495112504695,-0.021519477910011922,272
