lower_threshold_percent,upper_threshold_percent,middle_vs_low_coefficient,middle_vs_low_standard_error,middle_vs_low_p,high_vs_low_coefficient,high_vs_low_standard_error,high_vs_low_p,sse,low_observations,middle_observations,high_observations
60.78,89.18,-0.035899107229950857,0.024488905809891107,0.14266640636187272,-0.06363379310795463,0.033125583244744725,0.054733428914038984,0.11047320818022115,30,113,58
77.38000000000001,86.11999999999999,0.032147834480008214,0.011726307610839074,0.006115678629150267,0.020495683539866888,0.01959164475723386,0.29549450781864217,0.1105006347605677,81,45,75
77.82,86.11999999999999,0.032147834480008214,0.011726307610839074,0.006115678629150267,0.020495683539866888,0.01959164475723386,0.29549450781864217,0.1105006347605677,81,45,75
77.82,93.11,0.031817976098716706,0.011809053561979203,0.00705215359974601,0.021873821266331767,0.01681657450334665,0.1933509240887677,0.11066711242008963,81,80,40
77.38000000000001,93.11,0.031817976098716706,0.011809053561979203,0.00705215359974601,0.021873821266331767,0.01681657450334665,0.1933509240887677,0.11066711242008963,81,80,40
60.78,90.92,-0.036129371861888894,0.02404991080622286,0.13302833390066887,-0.061006746763114184,0.030606647106596056,0.046233908931909366,0.1107494143356754,30,124,47
77.82,85.24000000000001,0.033296038461250704,0.01176338386231211,0.004647802293487839,0.02340254617976728,0.02060503609601456,0.2560535602712406,0.1108370878832944,81,41,79
77.38000000000001,85.24000000000001,0.033296038461250704,0.01176338386231211,0.004647802293487839,0.02340254617976728,0.02060503609601456,0.2560535602712406,0.1108370878832944,81,41,79
77.38000000000001,84.81,0.03358020743865347,0.011681674286942938,0.004045323455548074,0.024498075941635288,0.018636096611603387,0.18866127124066218,0.11089615900569522,81,40,80
77.82,84.81,0.03358020743865347,0.011681674286942938,0.004045323455548074,0.024498075941635288,0.018636096611603387,0.18866127124066218,0.11089615900569522,81,40,80
77.82,82.17999999999999,0.03532280906017171,0.011665241631036976,0.00246146146810482,0.02583895660884616,0.013636241925791149,0.05810913217668201,0.11092903386441506,81,22,98
77.38000000000001,82.17999999999999,0.03532280906017171,0.011665241631036976,0.00246146146810482,0.02583895660884616,0.013636241925791149,0.05810913217668201,0.11092903386441506,81,22,98
60.34,77.38000000000001,-0.01119790418563668,0.0215646117020019,0.6035709100772113,0.021174557799279996,0.03014535116039181,0.4824201667377138,0.1109371126632488,27,54,120
60.34,77.82,-0.01119790418563668,0.0215646117020019,0.6035709100772113,0.021174557799279996,0.03014535116039181,0.4824201667377138,0.1109371126632488,27,54,120
77.38000000000001,82.62,0.03500467798695016,0.011726886318848063,0.002835844644198041,0.026053880920056904,0.013349454831343534,0.05097605802904631,0.11096159325508612,81,24,96
77.82,82.62,0.03500467798695016,0.011726886318848063,0.002835844644198041,0.026053880920056904,0.013349454831343534,0.05097605802904631,0.11096159325508612,81,24,96
77.38000000000001,94.42,0.03281829389541527,0.011606273814963623,0.004689339232121,0.024987210613511973,0.016915223268781313,0.1396213557394971,0.1110236447811173,81,90,30
77.82,94.42,0.03281829389541527,0.011606273814963623,0.004689339232121,0.024987210613511973,0.016915223268781313,0.1396213557394971,0.1110236447811173,81,90,30
68.2,77.38000000000001,0.009074981196760644,0.01281007604372153,0.47868122292134563,0.04381472450796468,0.018033204367298095,0.015112601539554451,0.11117606096971169,48,33,120
68.2,77.82,0.009074981196760644,0.01281007604372153,0.47868122292134563,0.04381472450796468,0.018033204367298095,0.015112601539554451,0.11117606096971169,48,33,120
59.9,77.82,-0.008606159139653215,0.02383122846177095,0.7180026564203823,0.024168666213706336,0.03190611655161329,0.4487544403939277,0.11118161636002376,24,57,120
59.9,77.38000000000001,-0.008606159139653215,0.02383122846177095,0.7180026564203823,0.024168666213706336,0.03190611655161329,0.4487544403939277,0.11118161636002376,24,57,120
77.38000000000001,93.97999999999999,0.03303926535302987,0.011627125404494556,0.004489230285200335,0.02709698330596793,0.016555001904997032,0.1016753440444776,0.11121166676341407,81,89,31
77.82,93.97999999999999,0.03303926535302987,0.011627125404494556,0.004489230285200335,0.02709698330596793,0.016555001904997032,0.1016753440444776,0.11121166676341407,81,89,31
67.77,77.38000000000001,0.008094280383244624,0.011488379725828387,0.48108260504062894,0.04291416490081252,0.018008689038166326,0.017173595920831036,0.11121732428564293,47,34,120
67.77,77.82,0.008094280383244624,0.011488379725828387,0.48108260504062894,0.04291416490081252,0.018008689038166326,0.017173595920831036,0.11121732428564293,47,34,120
78.25,92.23,0.022249768813507032,0.008995625582611277,0.013383473227383319,0.0030998170989327135,0.014950260263996522,0.8357427632102287,0.11122633520746358,82,75,44
78.25,92.67,0.022249768813507032,0.008995625582611277,0.013383473227383319,0.0030998170989327135,0.014950260263996522,0.8357427632102287,0.11122633520746358,82,75,44
77.38000000000001,87.42999999999999,0.032536566387871085,0.012048921500245498,0.006926204996060724,0.026515620838562223,0.016988108419250338,0.11856287267714638,0.11122831111656116,81,52,68
77.82,87.42999999999999,0.032536566387871085,0.012048921500245498,0.006926204996060724,0.026515620838562223,0.016988108419250338,0.11856287267714638,0.11122831111656116,81,52,68
60.78,89.61,-0.03528129757200112,0.02411773606191673,0.14350085477971306,-0.06068428422606528,0.03151745404358737,0.054177042273662615,0.11131381408607477,30,115,56
71.26,77.38000000000001,0.006328815903760756,0.011434103174870099,0.5799186979593101,0.03942262182976194,0.014601879684550937,0.006937450123916349,0.11132480797423207,60,21,120
71.7,77.38000000000001,0.006328815903760756,0.011434103174870099,0.5799186979593101,0.03942262182976194,0.014601879684550937,0.006937450123916349,0.11132480797423207,60,21,120
71.7,77.82,0.006328815903760756,0.011434103174870099,0.5799186979593101,0.03942262182976194,0.014601879684550937,0.006937450123916349,0.11132480797423207,60,21,120
71.26,77.82,0.006328815903760756,0.011434103174870099,0.5799186979593101,0.03942262182976194,0.014601879684550937,0.006937450123916349,0.11132480797423207,60,21,120
