province,date,value
辽宁,20120731,23479
辽宁,20120831,23729.6
辽宁,20120930,23986.9
辽宁,20121031,24115.9
辽宁,20121130,24278.2
辽宁,20121231,24730.2
辽宁,20130131,25003
辽宁,20130228,25202
辽宁,20130331,25579
辽宁,20130430,25814
辽宁,20130531,26062
辽宁,20130630,26454
辽宁,20130731,26626
辽宁,20130831,26842
辽宁,20130930,27178
辽宁,20131031,27327
辽宁,20131130,27557
辽宁,20131231,27944
辽宁,20140131,28421
辽宁,20140228,28703
辽宁,20140331,29007
辽宁,20140430,29224
辽宁,20140531,29496
辽宁,20140630,29906
辽宁,20140731,30033
辽宁,20140831,30192
辽宁,20140930,30523
辽宁,20141031,30628
辽宁,20141130,30802
辽宁,20141231,31250
辽宁,20150131,31614
辽宁,20150228,32128
辽宁,20150331,32484
辽宁,20150430,32837
辽宁,20150531,33031
辽宁,20150630,33567
辽宁,20150731,33745
辽宁,20150831,34004
辽宁,20150930,34322
辽宁,20151031,34528
辽宁,20151130,34627
辽宁,20151231,34735
辽宁,20160131,35452
辽宁,20160229,35708
辽宁,20160331,36032
辽宁,20160430,35770.1
辽宁,20160531,35960.7
辽宁,20160630,36417.8
辽宁,20160731,36293
辽宁,20160831,36524.6
辽宁,20160930,36937.1
辽宁,20161031,37003.9
辽宁,20161130,36976.6
辽宁,20161231,37290.6
辽宁,20170131,37832.1
辽宁,20170228,38033.4
辽宁,20170331,38350.3
辽宁,20170430,38722.6
辽宁,20170531,38826.9
辽宁,20170630,39290.6
辽宁,20170731,39428.5
辽宁,20170831,39563.5
辽宁,20170930,39604.2
辽宁,20171031,39668.8
辽宁,20171130,40122.9
辽宁,20171231,40063.7
辽宁,20180131,40761.7
辽宁,20180228,41174.3
辽宁,20180331,41492.3
辽宁,20180430,41785.7
辽宁,20180531,42124.8
辽宁,20180630,42393.6
辽宁,20180731,42701.5
辽宁,20180831,42874.5
辽宁,20180930,43384.6
辽宁,20181031,43561.8
辽宁,20181130,43636.8
辽宁,20181231,43907.8
辽宁,20190131,45060
辽宁,20190228,45197
辽宁,20190331,45716
辽宁,20190430,46165
辽宁,20190531,46300
辽宁,20190630,46729
辽宁,20190731,47119
辽宁,20190831,47297
辽宁,20190930,47687
辽宁,20191031,47701
辽宁,20191130,48045
辽宁,20191231,48654
辽宁,20200131,49207
辽宁,20200229,49271
辽宁,20200331,49870
辽宁,20200430,50287
