province,province_cn,year,hydro_monthly_observations,hydro_monthly_mean_100m_kwh,hydro_monthly_sd_100m_kwh,hydro_monthly_cv,nuclear_monthly_observations,nuclear_monthly_mean_100m_kwh,nuclear_monthly_sd_100m_kwh,nuclear_monthly_cv,solar_monthly_observations,solar_monthly_mean_100m_kwh,solar_monthly_sd_100m_kwh,solar_monthly_cv,thermal_monthly_observations,thermal_monthly_mean_100m_kwh,thermal_monthly_sd_100m_kwh,thermal_monthly_cv,wind_monthly_observations,wind_monthly_mean_100m_kwh,wind_monthly_sd_100m_kwh,wind_monthly_cv,windsolar_monthly_observations,windsolar_monthly_mean_100m_kwh,windsolar_monthly_sd_100m_kwh,windsolar_monthly_cv,observed_source_monthly_observations,observed_source_monthly_mean_100m_kwh,observed_source_monthly_sd_100m_kwh,observed_source_monthly_cv,therm_month_n,therm_month_cv,windsolar_month_n,windsolar_month_cv,allsrc_month_n,allsrc_month_cv
Hainan,海南,2011,12,0.8383531666666667,0.6028643777640862,0.7191055055724361,0,,,,0,,,,12,13.100437833333332,1.9367358394196434,0.14783748940754693,0,,,,0,,,,12,13.938791,1.7694877321108287,0.12694700222643618,12,0.14783748940754693,0,,12,0.12694700222643618
Hainan,海南,2012,11,1.263891090909091,1.3002039933077008,1.0287310375552141,0,,,,0,,,,12,14.937803916666667,1.727449388554094,0.11564279449583041,0,,,,0,,,,12,16.09637075,2.336025252713684,0.14512745071516722,12,0.11564279449583041,0,,12,0.14512745071516722
Hainan,海南,2013,10,0.9328200000000001,0.4741504351058966,0.5082978871656875,0,,,,0,,,,10,17.121029999999998,1.5987519952554654,0.09337942841379669,10,0.41,0.09944289260117525,0.24254364049067137,10,0.41,0.09944289260117525,0.24254364049067137,10,18.46385,1.2921770615257542,0.06998416156574896,10,0.09337942841379669,10,0.24254364049067137,10,0.06998416156574896
Hainan,海南,2014,10,0.9400000000000001,0.2814249455894055,0.29938823998872927,0,,,,0,,,,10,18.418,1.515701524414063,0.08229457728385618,10,0.41,0.17919573407620815,0.4370627660395321,10,0.41,0.17919573407620815,0.4370627660395321,10,19.768000000000004,1.54814440899779,0.07831568236532728,10,0.08229457728385618,10,0.4370627660395321,10,0.07831568236532728
Hainan,海南,2015,12,0.4043083333333333,0.17036991015986,0.42138609599074967,2,1.8490499999999999,2.5071885140531416,,0,,,,12,19.018491666666666,2.0965019157280813,0.11023492043812175,10,0.48,0.16193277068654832,0.337359938930309,10,0.48,0.16193277068654832,0.337359938930309,12,20.130974999999996,2.25732332969221,0.11213184307725832,12,0.11023492043812175,10,0.337359938930309,12,0.11213184307725832
Hainan,海南,2016,10,0.8399999999999999,0.782020175926143,0.9309763999120751,10,5.42,1.94353629586209,0.3585860324468801,0,,,,10,16.509999999999998,4.015373235730674,0.24320855455667323,10,0.41,0.1100504934614613,0.26841583771088123,10,0.41,0.1100504934614613,0.26841583771088123,10,23.18,2.5054607028116282,0.1080871744094749,10,0.24320855455667323,10,0.26841583771088123,10,0.1080871744094749
Hainan,海南,2017,10,0.8200000000000001,0.2780887148615227,0.3391325790994179,10,6.669999999999999,1.387283516645231,0.2079885332301696,0,,,,10,16.61,1.636018201474406,0.09849597841507562,10,0.44000000000000006,0.14298407059684806,0.3249637968110183,10,0.44000000000000006,0.14298407059684806,0.3249637968110183,10,24.54,2.186930878346793,0.08911698770769327,10,0.09849597841507562,10,0.3249637968110183,10,0.08911698770769327
Hainan,海南,2018,10,0.9,0.7287737036358483,0.8097485595953869,10,7.4,1.240967364599085,0.16769829251338986,0,,,,10,18.270000000000003,2.6449322612624058,0.14476914402093077,10,0.33999999999999997,0.08432740427115674,0.2480217772681081,10,0.33999999999999997,0.08432740427115674,0.2480217772681081,10,26.910000000000004,2.557537878507374,0.09504042655174186,10,0.14476914402093077,10,0.2480217772681081,10,0.09504042655174186
Hainan,海南,2019,10,0.52,0.28205594401741557,0.5424152769565684,10,8.66,0.7777460310981279,0.08980901051941431,0,,,,10,17.71,2.483031301543428,0.14020504243610546,10,0.32999999999999996,0.04830458915396473,0.14637754289080224,10,0.32999999999999996,0.04830458915396473,0.14637754289080224,10,27.22,2.268038800373574,0.08332251287191675,10,0.14020504243610546,10,0.14637754289080224,10,0.08332251287191675
Hainan,海南,2020,10,0.49000000000000005,0.35730472522297646,0.7291933167815845,10,8.66,1.1197221877670267,0.12929817410704697,0,,,,10,17.65,3.7639370640623366,0.21325422459276697,10,0.48999999999999994,0.24698178070456936,0.5040444504174886,10,0.48999999999999994,0.24698178070456936,0.5040444504174886,10,27.29,3.8187985312428037,0.1399339879531991,10,0.21325422459276697,10,0.5040444504174886,10,0.1399339879531991
Hainan,海南,2021,10,0.7500000000000001,0.392286743197994,0.5230489909306586,10,8.25,1.7608394462742942,0.21343508439688416,0,,,,10,21.44,3.9280190087795317,0.18320984182740352,10,0.42000000000000004,0.16865480854231352,0.4015590679578893,10,0.42000000000000004,0.16865480854231352,0.4015590679578893,10,30.860000000000003,3.7157921243136176,0.12040804032124489,10,0.18320984182740352,10,0.4015590679578893,10,0.12040804032124489
Hainan,海南,2022,10,1.2100000000000002,0.41217579852399033,0.34064115580495063,10,8.73,1.19633700194478,0.1370374572674433,0,,,,10,21.2,2.0800641015763626,0.0981162312064322,10,0.4,0.1825741858350553,0.45643546458763823,10,0.4,0.1825741858350553,0.45643546458763823,10,31.540000000000003,2.2152000160507237,0.0702346232102322,10,0.0981162312064322,10,0.45643546458763823,10,0.0702346232102322
Hainan,海南,2023,10,1.06,0.374759181934805,0.3535463980517028,10,9.09,0.4040077006966848,0.044445291605795904,0,,,,10,27.21,3.798376846320896,0.13959488593608585,10,0.38,0.10327955589886448,0.2717883049970118,10,0.38,0.10327955589886448,0.2717883049970118,10,37.739999999999995,3.5727984674326225,0.09466874582492377,10,0.13959488593608585,10,0.2717883049970118,10,0.09466874582492377
Hebei,河北,2000,12,0.39166666666666666,0.314551147259749,0.8031093121525505,0,,,,0,,,,12,69.96083333333333,14.780965313742565,0.21127486065406928,0,,,,0,,,,12,70.35249999999999,14.717573987954307,0.20919759763980397,12,0.21127486065406928,0,,12,0.20919759763980397
Hebei,河北,2001,12,0.3016666666666667,0.2624996392493914,0.8701645499979824,0,,,,0,,,,12,74.82333333333334,7.221269509811507,0.09651093032224582,0,,,,0,,,,12,75.12500000000001,7.357814028142277,0.0979409521216942,12,0.09651093032224582,0,,12,0.0979409521216942
Hebei,河北,2002,12,0.30333333333333334,0.21537845479034998,0.7100388619462087,0,,,,0,,,,12,84.19333333333334,9.341058275001279,0.11094771884157033,0,,,,0,,,,12,84.49666666666667,9.429272924186044,0.11159343079631595,12,0.11094771884157033,0,,12,0.11159343079631595
Hebei,河北,2003,12,0.2508333333333333,0.17354372429570658,0.6918686682885313,0,,,,0,,,,12,90.43083333333334,11.662321192886992,0.12896399118538468,0,,,,0,,,,12,90.68166666666667,11.771466915101694,0.1298108796166262,12,0.12896399118538468,0,,12,0.1298108796166262
Hebei,河北,2004,12,0.435,0.5307199227121931,1.220045799338375,0,,,,0,,,,12,104.14833333333333,18.411174390142595,0.17677838714150582,0,,,,0,,,,12,104.58333333333331,18.910765252211306,0.18082006615660215,12,0.17677838714150582,0,,12,0.18082006615660215
Hebei,河北,2005,12,0.4091666666666667,0.5214221520093489,1.2743514916725431,0,,,,0,,,,12,109.79916666666666,13.116438304199765,0.1194584503907871,0,,,,0,,,,12,110.20833333333331,13.314426784734694,0.12081143396356625,12,0.1194584503907871,0,,12,0.12081143396356625
Hebei,河北,2006,12,0.4283333333333333,0.2830943733853152,0.6609207160746658,0,,,,0,,,,12,119.90666666666668,14.539011053859314,0.12125273313015106,0,,,,0,,,,12,120.335,14.776125399379323,0.1227915851529424,12,0.12125273313015106,0,,12,0.1227915851529424
Hebei,河北,2007,12,0.4483333333333333,0.4609640753766814,1.0281726588327467,0,,,,0,,,,12,131.32333333333335,23.205364322357322,0.17670404590976968,0,,,,0,,,,12,131.77166666666668,23.420860877483243,0.17773821542934046,12,0.17670404590976968,0,,12,0.17773821542934046
Hebei,河北,2008,12,0.445,0.3765271932712526,0.846128524205062,0,,,,0,,,,12,131.53083333333333,35.215850372016334,0.26773836582309346,0,,,,0,,,,12,131.97583333333327,35.14485335613514,0.2662976430493094,12,0.26773836582309346,0,,12,0.2662976430493094
Hebei,河北,2009,10,0.5759247000000001,0.4104739144214351,0.7127214971357108,0,,,,0,,,,12,142.26507475,27.633464373770234,0.19423927075798506,0,,,,0,,,,12,142.745012,27.54927939981695,0.1929964417938257,12,0.19423927075798506,0,,12,0.1929964417938257
Hebei,河北,2010,12,0.41662708333333337,0.25976862697739245,0.6235039376198157,0,,,,0,,,,12,160.52299191666668,21.091103018743883,0.13138991970504163,0,,,,0,,,,12,160.93961900000002,21.126813601267767,0.13127167649917057,12,0.13138991970504163,0,,12,0.13127167649917057
Hebei,河北,2011,12,0.3647335,0.15919554782976245,0.4364708693601286,0,,,,0,,,,12,180.65019100000004,12.929462699957076,0.07157181859806101,0,,,,0,,,,12,181.0149245,12.88069834353299,0.07115821183867625,12,0.07157181859806101,0,,12,0.07115821183867625
Hebei,河北,2012,12,0.2726855833333333,0.15910790206503853,0.5834848330450371,0,,,,0,,,,12,182.76410766666666,10.690038263648098,0.058490906120063066,0,,,,0,,,,12,183.03679325,10.716176743315252,0.0585465717194827,12,0.058490906120063066,0,,12,0.0585465717194827
Hebei,河北,2013,10,0.19256,0.105627134560943,0.5485414133825457,0,,,,0,,,,10,197.11829,15.563902835189603,0.07895717254441281,10,13.6,2.7800879282657407,0.20441823001953977,10,13.6,2.7800879282657407,0.20441823001953977,10,210.91085000000004,15.302627243657671,0.07255495506114393,10,0.07895717254441281,10,0.20441823001953977,10,0.07255495506114393
Hebei,河北,2014,10,0.31100000000000005,0.1907558066685724,0.6133627224069851,0,,,,0,,,,10,193.81300000000002,16.84777931294733,0.08692801469946458,10,14.930000000000001,3.7247072964790746,0.24947805066839077,10,14.930000000000001,3.7247072964790746,0.24947805066839077,10,209.054,15.428916718652335,0.07380349918514993,10,0.08692801469946458,10,0.24947805066839077,10,0.07380349918514993
Hebei,河北,2015,12,0.35780833333333334,0.2758730025946833,0.7710077628004284,0,,,,0,,,,12,189.01675,18.421826433460538,0.09746134368229555,10,15.939999999999998,3.871319040212403,0.2428681957473277,10,15.939999999999998,3.871319040212403,0.2428681957473277,12,202.65789166666664,20.282188468589347,0.10008092111186895,12,0.09746134368229555,10,0.2428681957473277,12,0.10008092111186895
