source_file,province,province_cn,year,variable,value,unit,source,date,original_header,notes
数据模板命名.csv,Hebei,河北,1998,hydro_capacity_10k_kw,69.5,万千瓦,中国电力企业联合会,1998-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,1999,hydro_capacity_10k_kw,71.99,万千瓦,中国电力企业联合会,1999-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2000,hydro_capacity_10k_kw,72.72,万千瓦,中国电力企业联合会,2000-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2001,hydro_capacity_10k_kw,74.26,万千瓦,中国电力企业联合会,2001-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2002,hydro_capacity_10k_kw,77.59,万千瓦,中国电力企业联合会,2002-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2004,hydro_capacity_10k_kw,78.38,万千瓦,中国电力企业联合会,2004-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2006,hydro_capacity_10k_kw,78.5,万千瓦,中国电力企业联合会,2006-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2007,hydro_capacity_10k_kw,78,万千瓦,中国电力企业联合会,2007-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2008,hydro_capacity_10k_kw,154,万千瓦,中国电力企业联合会,2008-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2009,hydro_capacity_10k_kw,179,万千瓦,中国电力企业联合会,2009-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2010,hydro_capacity_10k_kw,179,万千瓦,中国电力企业联合会,2010-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2011,hydro_capacity_10k_kw,179,万千瓦,中国电力企业联合会,2011-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2012,hydro_capacity_10k_kw,179,万千瓦,中国电力企业联合会,2012-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2013,hydro_capacity_10k_kw,181,万千瓦,中国电力企业联合会,2013-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2014,hydro_capacity_10k_kw,182,万千瓦,中国电力企业联合会,2014-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2015,hydro_capacity_10k_kw,182,万千瓦,中国电力企业联合会,2015-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2016,hydro_capacity_10k_kw,182,万千瓦,中国电力企业联合会,2016-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2017,hydro_capacity_10k_kw,182,万千瓦,中国电力企业联合会,2017-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
数据模板命名.csv,Hebei,河北,2018,hydro_capacity_10k_kw,182,万千瓦,中国电力企业联合会,2018-12-01,发电设备容量:水电:河北,"frequency=年, 年终12月"
