province,year,green_credit_level,large_bank_networks_2011,total_networks_2011,large_bank_share_2011,national_green_credit_level,national_green_credit_change,national_green_credit_dev2011,post2012,iv_network_post2012,iv_network_national_level,iv_network_national_change,iv_network_national_dev2011,z_iv_network_post2012,z_iv_network_national_level,z_iv_network_national_change,z_iv_network_national_dev2011
海南省,2008,0.582802547770701,487.0,1285.0,0.378988326848249,0.514510536425525,0.007531714286409974,0.026380034895865045,0,0.0,0.19499348734570482,0.0028544317957055697,0.009997725287382317,-1.1191511962910219,0.4224570182042405,0.7250952103349303,1.563730670663328
海南省,2007,0.539727582292849,487.0,1285.0,0.378988326848249,0.506978822139115,0.004147062005856017,0.01884832060945507,0,0.0,0.19213905554999924,0.0015716880909353154,0.007143293491676746,-1.1191511962910219,0.3701771595244437,0.403720207288805,1.1760432260297637
海南省,2006,0.387793427230047,487.0,1285.0,0.378988326848249,0.502831760133259,0.016663747035340015,0.014701258603599054,0,0.0,0.1905673674590639,0.0063153656079459825,0.005571605400741432,-1.1191511962910219,0.34139117437446115,1.5921878417896378,0.9625773654502847
海南省,2005,0.43483556638246,487.0,1285.0,0.378988326848249,0.486168013097919,,-0.0019624884317409608,0,0.0,0.18425200185111795,,-0.0007437602072045508,-1.1191511962910219,0.22572317278080195,,0.10482768715885722
海南省,2021,0.615515151515152,487.0,1285.0,0.378988326848249,0.483127572726128,0.0037323702503569978,-0.005002928803531981,1,0.378988326848249,0.18309971044173098,0.001414524756360979,-0.0018960516165914976,0.8341662481339763,0.20461857601610547,0.36434494710258336,-0.05167593385970331
海南省,2022,0.63040036190907,487.0,1285.0,0.378988326848249,0.48426716262018,0.0011395898940519955,-0.0038633389094799853,1,0.378988326848249,0.18353160170897093,0.00043189126723993916,-0.0014641603493515585,0.8341662481339763,0.2125288068544504,0.1181587141200103,0.006983313843363854
重庆市,2020,0.420847569382006,1266.0,5111.0,0.24770103697906476,0.479395202475771,0.014602371501520994,-0.008735299053888979,1,0.24770103697906476,0.1187466887760372,0.003617022563280293,-0.0021637426339705433,0.15750753501365752,-0.9740282157418841,0.9161525582220269,-0.08803358887012488
重庆市,2019,0.428475625483621,1266.0,5111.0,0.24770103697906476,0.46479283097425,0.0006526039815620277,-0.023337670555409973,1,0.24770103697906476,0.1151296662127569,0.0001616506829695807,-0.0057807651972508365,0.15750753501365752,-1.0402751755516868,0.05045339756292915,-0.579295715661794
重庆市,2018,0.416470705958873,1266.0,5111.0,0.24770103697906476,0.464140226992688,0.00730143466969696,-0.023990274536972,1,0.24770103697906476,0.11496801552978732,0.0018085729391188322,-0.005942415880220417,0.15750753501365752,-1.0432358610631982,0.4630686714624753,-0.601251027502852
重庆市,2017,0.429482071713147,1266.0,5111.0,0.24770103697906476,0.456838792322991,0.00718608951438604,-0.03129170920666896,1,0.24770103697906476,0.11315944259066849,0.0017800018245378061,-0.0077509888193392495,0.15750753501365752,-1.0763604702451335,0.4559105447054604,-0.8468904651854327
重庆市,2016,0.440878229433031,1266.0,5111.0,0.24770103697906476,0.449652702808605,-0.018228925186363043,-0.038477798721055,1,0.24770103697906476,0.11137944076613068,-0.004515323671675917,-0.009530990643877055,0.15750753501365752,-1.1089617900512752,-1.1213026140871551,-1.0886493889181212
重庆市,2015,0.471480804387569,1266.0,5111.0,0.24770103697906476,0.467881627994968,-0.008495150402869966,-0.020248873534691958,1,0.24770103697906476,0.1158947644378066,-0.0021042575640840104,-0.005015666972201138,0.15750753501365752,-1.02626214951199,-0.5172408870326934,-0.4753804719311679
重庆市,2014,0.495886047951871,1266.0,5111.0,0.24770103697906476,0.476376778397838,0.0025536353930479816,-0.011753723131821991,1,0.24770103697906476,0.11799902200189061,0.0006325381349244266,-0.002911409408117128,0.15750753501365752,-0.9877219790158114,0.16842821649488016,-0.18958130198851125
重庆市,2013,0.488486183420104,1266.0,5111.0,0.24770103697906476,0.47382314300479,-0.005284243148438006,-0.014307358524869973,1,0.24770103697906476,0.11736648386696617,-0.001308912507517612,-0.0035439475430415544,0.15750753501365752,-0.999307123335316,-0.31797737162723155,-0.27549230309600675
重庆市,2012,0.522662311147407,1266.0,5111.0,0.24770103697906476,0.479107386153228,-0.009023115376431967,-0.009023115376431967,1,0.24770103697906476,0.1186753963744838,-0.0022350350355239425,-0.0022350350355239425,0.15750753501365752,-0.97533395956234,-0.550005507218376,-0.09771648583813436
重庆市,2011,0.469089488081282,1266.0,5111.0,0.24770103697906476,0.48813050152966,-0.027257914523382998,0.0,0,0.0,0.12091043141000773,-0.006751813693328678,0.0,-1.1191511962910219,-0.9343985565944427,-1.681626539161507,0.20584481238324465
重庆市,2010,0.552012845509806,1266.0,5111.0,0.24770103697906476,0.515388416053043,-0.000772553022724054,0.027257914523382998,0,0.0,0.1276622451033364,-0.00019136218485005916,0.006751813693328678,-1.1191511962910219,-0.8107368645369918,-0.037989454309166004,1.1228726430522469
重庆市,2009,0.559431524547804,1266.0,5111.0,0.24770103697906476,0.516160969075767,0.0016504326502420064,0.028030467546107052,0,0.0,0.12785360728818648,0.00040881387892905107,0.006943175878178737,-1.1191511962910219,-0.8072320030806169,0.11237697010432901,1.148863355654184
重庆市,2008,0.539818483957561,1266.0,5111.0,0.24770103697906476,0.514510536425525,0.007531714286409974,0.026380034895865045,0,0.0,0.1274447934092574,0.0018656134389737873,0.006534361999249686,-1.1191511962910219,-0.814719563949616,0.4773594380017833,1.09333846685103
重庆市,2007,0.56,1266.0,5111.0,0.24770103697906476,0.506978822139115,0.004147062005856017,0.01884832060945507,0,0.0,0.12557917997028364,0.0010272315592670157,0.004668748560275899,-1.1191511962910219,-0.8488888886773658,0.2673135978681636,0.8399518180903434
重庆市,2006,0.540066140931061,1266.0,5111.0,0.24770103697906476,0.502831760133259,0.016663747035340015,0.014701258603599054,0,0.0,0.12455194841101662,0.004127627420610538,0.0036415170010088834,-1.1191511962910219,-0.867702973088387,1.0440780642834766,0.7004337609910875
