UNIT;PLANT;PARENT;URL;SPONSOR;CAPACITY_MW;STATUS;REGION;COUNTRY;SUBNATIONAL_UNIT;GEOPOINT
Unit 3;Castilla Power Station;Eneva Sa;https://www.gem.wiki/Castilla_power_station;;350;Cancelled;Americas;Chile;Iii Region;-27.36667, -70.33333
Unit 2;Cochrane Power Station;"Daelim Group [40.0%]; Aes Corp [30.0%]; Toesca Infraestructura Ii [30.0%]";https://www.gem.wiki/Cochrane_power_station;;275;Operating;Americas;Chile;Antofagasta Region;-23.06341, -70.36584
Unit 2;Nueva Tocopilla Power Station;Aes Corp;https://www.gem.wiki/Nueva_Tocopilla_power_station;;141;Operating;Americas;Chile;Antofagasta Region;-22.09645, -70.20995
Unit 1;Punta Alcalde Power Station;Enel GeneraciÃ³n Chile Sa;https://www.gem.wiki/Punta_Alcalde_power_station;;370;Cancelled;Americas;Chile;Iii Region;-28.57028, -71.31139
Unit 1;Rg GeneraciÃ³n Power Station;Southern Cross Group;https://www.gem.wiki/RG_Generaci%C3%B3n_power_station;;350;Cancelled;Americas;Chile;ConcepciÃ³n;-37.01667, -73.21667
Unit 1;RÃ­o Corrientes Power Station;Southern Cross Group;https://www.gem.wiki/R%C3%ADo_Corrientes_power_station;;350;Cancelled;Americas;Chile;V Region;-32.75076, -71.48134
Unit 2;Santa MarÃ­a Power Station;ColbÃºn;https://www.gem.wiki/Santa_Mar%C3%ADa_power_station;;402;Cancelled;Americas;Chile;Biobio Region;-37.0421, -73.1308
Unit 13;Tocopilla Power Station;Engie EnergÃ­a Chile Sa;https://www.gem.wiki/Tocopilla_power_station;;86;Retired;Americas;Chile;Antofagasta Region;-22.09639, -70.21176
Unit 1;Akesu Power Station;Xinjiang Energy (Group) Co Ltd;https://www.gem.wiki/Akesu_power_station;;660;Announced;Asia;China;Xinjiang;41.09495, 80.11817
Unit 2;Akesu Power Station;Xinjiang Energy (Group) Co Ltd;https://www.gem.wiki/Akesu_power_station;;660;Announced;Asia;China;Xinjiang;41.09495, 80.11817
Unit 1;Aksu Cogen Power Station;Zhejiang Zheneng Electric Power Co Ltd;https://www.gem.wiki/Aksu_Cogen_power_station;;350;Operating;Asia;China;Xinjiang;41.15415, 80.39973
Unit 1;Anda Cogen Power Station;"Heilongjiang Province Xinma Thermoelectricity Group Co Ltd [50.0%]; Persons [50.0%]";https://www.gem.wiki/Anda_Cogen_power_station;;50;Operating;Asia;China;Heilongjiang;46.3996, 125.29816
Phase Ii, Unit 3;Anhui Bengbu Power Station;"An Hui Wenergy Co Ltd [39.2%]; Gd Power Development Co Ltd [23.4%]; China Shenhua Energy Co Ltd [17.4%]; Huaihe Energy Holding Group Co Ltd [16.6%]";https://www.gem.wiki/Anhui_Bengbu_power_station;;660;Operating;Asia;China;Anhui;32.78444, 117.11472
Phase I, Unit 1;Anhui Bengbu Power Station;"An Hui Wenergy Co Ltd [39.2%]; Gd Power Development Co Ltd [23.4%]; China Shenhua Energy Co Ltd [17.4%]; Huaihe Energy Holding Group Co Ltd [16.6%]";https://www.gem.wiki/Anhui_Bengbu_power_station;;630;Operating;Asia;China;Anhui;32.78444, 117.11472
Phase I, Unit 1;Anhui Huainan Panji Power Station;"Huaihe Energy Holding Group Co Ltd [74.0%]; China Development Bank Corp [10.7%]; China Cinda Asset Management Co Ltd [7.4%]";https://www.gem.wiki/Anhui_Huainan_Panji_power_station;;660;Operating;Asia;China;Anhui;32.76917, 116.7596
Unit 1;Anhui Huainan Tianjia'An Power Station;"China Datang Corp [47.5%]; Gd Power Development Co Ltd [44.9%]";https://www.gem.wiki/Anhui_Huainan_Tianjia%27an_power_station;;120;Retired;Asia;China;Anhui;32.66993, 117.02532
Unit 3;Anhui Huainan Tianjia'An Power Station;"China Datang Corp [47.5%]; Gd Power Development Co Ltd [44.9%]";https://www.gem.wiki/Anhui_Huainan_Tianjia%27an_power_station;;137;Retired;Asia;China;Anhui;32.66993, 117.02532
Phase Ii, Unit 3;Anqing Power Station;"An Hui Wenergy Co Ltd [49.0%]; Gd Power Development Co Ltd [29.3%]; China Shenhua Energy Co Ltd [21.7%]";https://www.gem.wiki/Anqing_power_station;;1000;Operating;Asia;China;Anhui;30.541, 117.1717
Phase I, Unit 2;Anqing Power Station;"An Hui Wenergy Co Ltd [49.0%]; Gd Power Development Co Ltd [29.3%]; China Shenhua Energy Co Ltd [21.7%]";https://www.gem.wiki/Anqing_power_station;;320;Operating;Asia;China;Anhui;30.541, 117.1717
Phase Iii, Unit 6;Anqing Power Station;"An Hui Wenergy Co Ltd [49.0%]; Gd Power Development Co Ltd [29.3%]; China Shenhua Energy Co Ltd [21.7%]";https://www.gem.wiki/Anqing_power_station;;1000;Announced;Asia;China;Anhui;30.541, 117.1717
Unit 2;Anshan North Power Station;China Energy Investment Corp;https://www.gem.wiki/Anshan_North_power_station;;300;Cancelled;Asia;China;Liaoning;41.196, 123.051
