UNIT;PLANT;PARENT;URL;SPONSOR;CAPACITY_MW;STATUS;REGION;COUNTRY;SUBNATIONAL_UNIT;GEOPOINT
Unit 3;Bishkek Power Station;National Electrical Grid Of Kyrgyzstan;https://www.gem.wiki/Bishkek_power_station;;60;Retired;Asia;Kyrgyzstan;Bishkek;42.87175, 74.65496
Unit 7;Bishkek Power Station;National Electrical Grid Of Kyrgyzstan;https://www.gem.wiki/Bishkek_power_station;;60;Operating;Asia;Kyrgyzstan;Bishkek;42.87175, 74.65496
Unit 8;Bishkek Power Station;National Electrical Grid Of Kyrgyzstan;https://www.gem.wiki/Bishkek_power_station;;60;Operating;Asia;Kyrgyzstan;Bishkek;42.87175, 74.65496
Unit 1;Houaphanh Power Station;China Three Gorges Corp;https://www.gem.wiki/Houaphanh_power_station;;350;Pre-Permit;Asia;Laos;Houaphanh;20.3333, 103.833
Unit 2;Houaphanh Power Station;China Three Gorges Corp;https://www.gem.wiki/Houaphanh_power_station;;300;Shelved;Asia;Laos;Houaphanh;20.3333, 103.833
Unit 2;Nam Phan Power Station;Phongsupthavy Group Co;https://www.gem.wiki/Nam_Phan_power_station;;330;Construction;Asia;Laos;Xiangkhouang;19.42492, 103.46554
Phase I;Phonesack Xekong Power Station;Phonesack Group;https://www.gem.wiki/Phonesack_Xekong_power_station;;300;Permitted;Asia;Laos;Sekong;15.7166, 106.65
Unit 1;Ambatovy Nickel Power Station;"Sumitomo Corp [54.0%]; Korea Resources Corp [46.0%]";https://www.gem.wiki/Ambatovy_Nickel_power_station;;40;Operating;Africa;Madagascar;Toamasina;-18.20196, 49.35628
Unit 5;Kamwamba Power Station;"Government Of Malawi [85.0%]; Gezhouba Group [15.0%]";https://www.gem.wiki/Kamwamba_power_station;;50;Pre-Permit;Africa;Malawi;Southern;-14.95, 34.78333
Unit 6;Kamwamba Power Station;"Government Of Malawi [85.0%]; Gezhouba Group [15.0%]";https://www.gem.wiki/Kamwamba_power_station;;50;Pre-Permit;Africa;Malawi;Southern;-14.95, 34.78333
Unit 1;Jimah Power Station;Jimah Energy Ventures Sdn Bhd;https://www.gem.wiki/Jimah_power_station;;700;Operating;Asia;Malaysia;Negeri Sembilan;2.59234, 101.73136
Unit 1;Manjung Power Station;Tenaga Nasional Bhd;https://www.gem.wiki/Manjung_power_station;;700;Operating;Asia;Malaysia;Perak;4.1586, 100.6423
Unit 2;Manjung Power Station;Tenaga Nasional Bhd;https://www.gem.wiki/Manjung_power_station;;700;Operating;Asia;Malaysia;Perak;4.1586, 100.6423
Unit 5;Manjung Power Station;Tenaga Nasional Bhd;https://www.gem.wiki/Manjung_power_station;;1000;Operating;Asia;Malaysia;Perak;4.1586, 100.6423
Unit 2;Sejingkat Power Station;Sarawak Energy Bhd;https://www.gem.wiki/Sejingkat_power_station;;50;Operating;Asia;Malaysia;Sarawak;1.63773, 110.4654
Unit 4;Sultan Aziz Power Station;Tenaga Nasional Bhd;https://www.gem.wiki/Sultan_Aziz_power_station;;300;Operating;Asia;Malaysia;Selangor;3.11722, 101.32037
Unit 1;Tanjung Bin Power Station;Malakoff Corporation Bhd;https://www.gem.wiki/Tanjung_Bin_power_station;;700;Operating;Asia;Malaysia;Johor;1.334, 103.5422
Unit 2;Unnamed Malaysia Coal Projects;To Be Determined;https://www.gem.wiki/Unnamed_Malaysia_coal_projects;;700;Cancelled;Asia;Malaysia;Unknown;1.88, 111.58
;Saint-Aubin Power Station;"Albioma; Omnicane Thermal Energy Operations Saint-Aubin; Sugar Investment Trust";https://www.gem.wiki/Saint-Aubin_power_station;;35;Operating;Africa;Mauritius;Savanne;-20.50797, 57.54233
Unit 1;Terragen Power Station;Terra Mauricia Ltd;https://www.gem.wiki/Terragen_power_station;;35;Operating;Africa;Mauritius;Pamplemousses;-20.0676, 57.59913
Unit 2;JosÃ© LÃ³pez Portillo Power Station;ComisiÃ³n Federal De Electricidad Epe;https://www.gem.wiki/Jos%C3%A9_L%C3%B3pez_Portillo_power_station;;300;Operating;Americas;Mexico;Coahuila;28.46815, -100.69741
Unit 4;JosÃ© LÃ³pez Portillo Power Station;ComisiÃ³n Federal De Electricidad Epe;https://www.gem.wiki/Jos%C3%A9_L%C3%B3pez_Portillo_power_station;;300;Operating;Americas;Mexico;Coahuila;28.46815, -100.69741
Unit 7 (PacÃ­fico Coal-Fired Expansion Project Unit 1);Petacalco Power Station;ComisiÃ³n Federal De Electricidad Epe;https://www.gem.wiki/Petacalco_power_station;;678;Operating;Americas;Mexico;Guerrero;17.98365, -102.11544
Unit 6;Petacalco Power Station;ComisiÃ³n Federal De Electricidad Epe;https://www.gem.wiki/Petacalco_power_station;;350;Operating;Americas;Mexico;Guerrero;17.98365, -102.11544
Unit 7;Kuchurgan Power Station;Inter Rao Pjsc;https://www.gem.wiki/Kuchurgan_power_station;;200;Mothballed;Europe;Moldova;Transdniestr;46.62903, 29.93971
Unit 2;Baganuur Power Station;Baganuur Power Llc;https://www.gem.wiki/Baganuur_power_station;;200;Pre-Permit;Asia;Mongolia;Tov;47.7457, 108.35517
Unit 3;Chandgana Coal Project;Prophecy Development;https://www.gem.wiki/Chandgana_Coal_Project;;150;Cancelled;Asia;Mongolia;Khentii;47.38905, 110.02087
;Erdenet Power Station;Hunan Industrial Equipment Installation;https://www.gem.wiki/Erdenet_power_station;;50;Operating;Asia;Mongolia;Orhon;49.0408, 104.098
;Sukhbaatar Power Station;Red Mongolia Llc;https://www.gem.wiki/Sukhbaatar_power_station;;50;Announced;Asia;Mongolia;Selenge;50.23639, 106.20639
Unit 1;Tavan Tolgoi Power Station (Marubeni);Marubeni Corp;https://www.gem.wiki/Tavan_Tolgoi_power_station_(Marubeni);;150;Cancelled;Asia;Mongolia;Omnogovi;43.625, 105.47417
Unit 4;Tavan Tolgoi Power Station (Marubeni);Marubeni Corp;https://www.gem.wiki/Tavan_Tolgoi_power_station_(Marubeni);;150;Cancelled;Asia;Mongolia;Omnogovi;43.625, 105.47417
Unit 2;Tavan Tolgoi Power Station (Marubeni);Marubeni Corp;https://www.gem.wiki/Tavan_Tolgoi_power_station_(Marubeni);;150;Cancelled;Asia;Mongolia;Omnogovi;43.625, 105.47417
Unit 1 (Phase I);Tavan Tolgoi Power Station (Rio Tinto);Erdenes Mongol;https://www.gem.wiki/Tavan_Tolgoi_power_station_(Rio_Tinto);;150;Permitted;Asia;Mongolia;Omnogovi;43.625, 105.47417
Unit 3 (Phase Ii);Tavan Tolgoi Power Station (Rio Tinto);Erdenes Mongol;https://www.gem.wiki/Tavan_Tolgoi_power_station_(Rio_Tinto);;150;Permitted;Asia;Mongolia;Omnogovi;43.625, 105.47417
Unit 1;Tevshiin Gobi Power Station;Mogul Power;https://www.gem.wiki/Tevshiin_Gobi_power_station;;150;Cancelled;Asia;Mongolia;Dundgovi;45.76667, 106.28333
Unit 5;Ulaanbaatar-4 Power Station;Thermal Power Plant-4 Ssh Co;https://www.gem.wiki/Ulaanbaatar-4_power_station;;80;Operating;Asia;Mongolia;Ulaanbaatar;47.8938, 106.8036
Unit 7;Ulaanbaatar-4 Power Station;Thermal Power Plant-4 Ssh Co;https://www.gem.wiki/Ulaanbaatar-4_power_station;;125;Operating;Asia;Mongolia;Ulaanbaatar;47.8938, 106.8036
Unit 3;Ulaanbaatar-5 Power Station;"Inter Rao Pjsc; Thermal Power Plant-3 Ssh Co";https://www.gem.wiki/Ulaanbaatar-5_power_station;;150;Cancelled;Asia;Mongolia;Ulaanbaatar;47.92595, 107.04949
;Bar Power Station;"Dufenergy Italia; Enel Spa";https://www.gem.wiki/Bar_power_station;;800;Cancelled;Europe;Montenegro;Bar;42.1, 19.1
Unit 3;Jerada Power Station;Office National De L'ElectricitÃ© Et De L'Eau Potable;https://www.gem.wiki/Jerada_power_station;;55;Operating;Africa;Morocco;Oriental;34.3095, -2.19045
Unit 4;Jerada Power Station;"Office National De L'ElectricitÃ© Et De L'Eau Potable; Shandong Electric Power Construction Corporation Iii";https://www.gem.wiki/Jerada_power_station;;350;Operating;Africa;Morocco;Oriental;34.3096, -2.1908
Unit 1;Jorf Lasfar Power Station;Taqa;https://www.gem.wiki/Jorf_Lasfar_power_station;;330;Operating;Africa;Morocco;Doukkala-Abda;33.10473, -8.63764
Phase Ii;Benga Power Station (Icvl);Rio Tinto;https://www.gem.wiki/Benga_power_station_(ICVL);;1500;Cancelled;Africa;Mozambique;Tete;-15.5, 32.5
Unit 1;Jindal Tete Power Station;Jindal Steel & Power Ltd;https://www.gem.wiki/Jindal_Tete_power_station;;75;Shelved;Africa;Mozambique;Tete;-15.85873, 32.99289
;Nacala Power Station;China Energy Engineering Corp Ltd;https://www.gem.wiki/Nacala_power_station;;200;Shelved;Africa;Mozambique;Nampula;-14.5411, 40.6166
Phase Ii;Ncondezi Power Station;Ncondezi Energy;https://www.gem.wiki/Ncondezi_power_station;;1500;Cancelled;Africa;Mozambique;Tete;-15.59583, 32.76472
Unit 1;Bukit Asam Minemouth Power Station;Pt Bukit Asam Tbk;https://www.gem.wiki/Bukit_Asam_minemouth_power_station;;100;Cancelled;Asia;Myanmar;Unknown;19.07346, 96.67104
Unit 4;Bukit Asam Minemouth Power Station;Pt Bukit Asam Tbk;https://www.gem.wiki/Bukit_Asam_minemouth_power_station;;200;Cancelled;Asia;Myanmar;Unknown;19.07346, 96.67104
Unit 2;Dawei Power Station;Italian-Thai Development Plc;https://www.gem.wiki/Dawei_power_station;;150;Cancelled;Asia;Myanmar;Tanintharyi;14.0833, 98.2
Unit 2;Htantabin Power Station;"Htoo Trading; Huaneng Lancang";https://www.gem.wiki/Htantabin_power_station;;135;Cancelled;Asia;Myanmar;Yangon;17.1333, 95.91667
Unit 1;Kalewa Power Station;"Isdn Holdings; Tun Thwin Mining";https://www.gem.wiki/Kalewa_power_station;;135;Cancelled;Asia;Myanmar;Sagaing;21.5, 95.6178
Unit 1;Kyaukphyu Power Station;Daewoo Co Ltd;https://www.gem.wiki/Kyaukphyu_power_station;;660;Cancelled;Asia;Myanmar;Arakan;19.43333, 93.55
;Launglon Power Station;24 Hour Mining And Industry;https://www.gem.wiki/Launglon_power_station;;500;Cancelled;Asia;Myanmar;Tanintharyi;13.79266, 98.10658
;Mandalay Power Station;Mudajaya Group;https://www.gem.wiki/Mandalay_power_station;;500;Cancelled;Asia;Myanmar;Mandalay;21.0, 95.75
;Myeik Than Phyo Thu Power Station;Than Phyo Thu Mining;https://www.gem.wiki/Myeik_Than_Phyo_Thu_power_station;;50;Cancelled;Asia;Myanmar;Tanintharyi;12.43333, 98.6
;Tanintharyi Power Station;Global Power Synergy Pcl;https://www.gem.wiki/Tanintharyi_power_station;;2000;Cancelled;Asia;Myanmar;Tanintharyi;12.43333, 98.6
Phase Ii;Okakarara Power Station;Ghantoot Group;https://www.gem.wiki/Okakarara_power_station;;150;Cancelled;Africa;Namibia;Otjozondjupa;-20.58333, 17.43333
Unit 1;Van Eck Power Station;Namibia Power Corp Ltd;https://www.gem.wiki/Van_Eck_power_station;;30;Operating;Africa;Namibia;Khomas;-22.51163, 17.07869
Unit 2;Van Eck Power Station;Namibia Power Corp Ltd;https://www.gem.wiki/Van_Eck_power_station;;30;Operating;Africa;Namibia;Khomas;-22.51163, 17.07869
Unit 3;Van Eck Power Station;Namibia Power Corp Ltd;https://www.gem.wiki/Van_Eck_power_station;;30;Operating;Africa;Namibia;Khomas;-22.51163, 17.07869
Unit 8;Amer Power Station;Rwe Ag;https://www.gem.wiki/Amer_power_station;;701;Retired;Europe;Netherlands;Noord-Brabant;51.70981, 4.84366
Unit 2;Maasvlakte Power Station (Uniper);Fortum Oyj;https://www.gem.wiki/Maasvlakte_Power_Station_(Uniper);;603;Retired;Europe;Netherlands;South Holland;51.95873, 4.02721
Unit 1;Huntly Power Station;Genesis Energy;https://www.gem.wiki/Huntly_power_station;;250;Operating;Oceania;New Zealand;Waikato;-37.54447, 175.14881
Phase I, Unit 2;Salkadamna Power Station;Compagnie MiniÃ¨re Et EnergÃ©tique Du Niger;https://www.gem.wiki/Salkadamna_power_station;;50;Pre-Permit;Africa;Niger;Tahoua;14.88333, 5.26667
Phase I, Unit 4;Salkadamna Power Station;Compagnie MiniÃ¨re Et EnergÃ©tique Du Niger;https://www.gem.wiki/Salkadamna_power_station;;50;Pre-Permit;Africa;Niger;Tahoua;14.88333, 5.26667
Unit 2;Ashaka/Tpgl Power Station;To Be Determined;https://www.gem.wiki/Ashaka/TPGL_power_station;;250;Cancelled;Africa;Nigeria;Gombe;10.88532, 11.51548
Unit 1;Ezinmo Power Station;Htg-Pacific Energy;https://www.gem.wiki/Ezinmo_power_station;;500;Cancelled;Africa;Nigeria;Benue;7.333, 8.75
Unit 3;Cheongcheon-Gang Power Station;Cheongcheon-Gang Power Plant;https://www.gem.wiki/Cheongcheon-Gang_power_station;;50;Operating;Asia;North Korea;North Pyongan;39.65655, 125.66883
Unit 3;Chongjin City Power Station;Ministry Of Electric Power (North Korea);https://www.gem.wiki/Chongjin_City_power_station;;50;Operating;Asia;North Korea;North Hamgyong;41.76361, 129.75
Unit 3;East Pyongyang Power Station;Ministry Of Electric Power (North Korea);https://www.gem.wiki/East_Pyongyang_power_station;;50;Operating;Asia;North Korea;Pyongyang;38.9693, 125.68758
Unit 4;East Pyongyang Power Station;Ministry Of Electric Power (North Korea);https://www.gem.wiki/East_Pyongyang_power_station;;50;Operating;Asia;North Korea;Pyongyang;38.9693, 125.68758
Unit 12;Pukchang Power Station;Pukchang Thermal Plant Complex;https://www.gem.wiki/Pukchang_power_station;;100;Operating;Asia;North Korea;South Pyongan;39.58614, 126.30507
Unit 5;Pukchang Power Station;Pukchang Thermal Plant Complex;https://www.gem.wiki/Pukchang_power_station;;100;Operating;Asia;North Korea;South Pyongan;39.58614, 126.30507
Unit 17;Pukchang Power Station;Pukchang Thermal Plant Complex;https://www.gem.wiki/Pukchang_power_station;;100;Operating;Asia;North Korea;South Pyongan;39.58614, 126.30507
Unit 19;Pukchang Power Station;Pukchang Thermal Plant Complex;https://www.gem.wiki/Pukchang_power_station;;100;Operating;Asia;North Korea;South Pyongan;39.58614, 126.30507
Unit 1;Pyongyang Power Station;Pyongyang Power Plant;https://www.gem.wiki/Pyongyang_power_station;;50;Operating;Asia;North Korea;Pyongyang;39.0093, 125.71094
Unit 3;Pyongyang Power Station;Pyongyang Power Plant;https://www.gem.wiki/Pyongyang_power_station;;50;Operating;Asia;North Korea;Pyongyang;39.0093, 125.71094
Unit 2;Sonbong Power Station;Ministry Of Electric Power (North Korea);https://www.gem.wiki/Sonbong_power_station;;50;Operating;Asia;North Korea;North Hamgyong;42.32849, 130.38245
Unit 1;Bin Qasim Dongfang Power Station;Dongfang Electric Corp;https://www.gem.wiki/Bin_Qasim_Dongfang_power_station;;660;Cancelled;Asia;Pakistan;Sindh;24.81501, 67.36319
Unit 2;Bin Qasim Dongfang Power Station;Dongfang Electric Corp;https://www.gem.wiki/Bin_Qasim_Dongfang_power_station;;660;Cancelled;Asia;Pakistan;Sindh;24.81501, 67.36319
Unit 1;Gujrat Power Station;Punjab State Power Corp Ltd;https://www.gem.wiki/Gujrat_power_station;;55;Cancelled;Asia;Pakistan;Punjab Province;32.5738, 74.07894
Unit 1;Gwadar Power Station;"China Communication Construction Group [75.5%]; Tianjin State-Owned Capital Investment And Management Co Ltd [24.5%]";https://www.gem.wiki/Gwadar_power_station;;150;Permitted;Asia;Pakistan;Balochistan;25.2052, 62.3519
Unit 5;Jamshoro Power Station;Power Planning And Monitoring Co;https://www.gem.wiki/Jamshoro_power_station;;660;Construction;Asia;Pakistan;Sindh;25.47222, 68.26611
Unit 1;Keti Bandar Power Station;Sindh Coal Authority;https://www.gem.wiki/Keti_Bandar_power_station;;660;Pre-Permit;Asia;Pakistan;Sindh;24.15, 67.45
Unit 3;Lakhra Power Station;Power Planning And Monitoring Co;https://www.gem.wiki/Lakhra_power_station;;50;Mothballed;Asia;Pakistan;Sindh;25.70573, 68.28647
;Mahmoodkot Power Station;China National Machinery Industry Corp;https://www.gem.wiki/Mahmoodkot_power_station;;660;Cancelled;Asia;Pakistan;Punjab Province;30.191, 71.011
Unit 1;Multan Power Station;Punjab State Power Corp Ltd;https://www.gem.wiki/Multan_power_station;;55;Cancelled;Asia;Pakistan;Punjab Province;30.19778, 71.46972
Unit 3;Port Qasim Burj Power Station;Burj Capital;https://www.gem.wiki/Port_Qasim_Burj_power_station;;125;Cancelled;Asia;Pakistan;Sindh;24.76667, 67.33333
Unit 2;Port Qasim Ssrl Power Station;"J-Energy; Sino-Sindh Resources";https://www.gem.wiki/Port_Qasim_SSRL_power_station;;220;Cancelled;Asia;Pakistan;Sindh;24.76667, 67.33333
Unit 2;Sialkot Power Station;Punjab State Power Corp Ltd;https://www.gem.wiki/Sialkot_power_station;;55;Cancelled;Asia;Pakistan;Punjab Province;32.49722, 74.53611
Unit 2;Thar Block I Power Station;Shanghai Electric Power Co Ltd;https://www.gem.wiki/Thar_Block_I_power_station;;660;Operating;Asia;Pakistan;Sindh;24.7108, 70.30249
Unit 1;Thar Block Vi Power Station;"Beijing Jingneng Power Co Ltd [73.0%]; Power Construction Corporation Of China Ltd [15.0%]; Oracle Coalfields [12.0%]";https://www.gem.wiki/Thar_Block_VI_power_station;;700;Pre-Permit;Asia;Pakistan;Sindh;24.8408, 70.31507
;Vehari Power Station;Servis Group;https://www.gem.wiki/Vehari_power_station;;220;Cancelled;Asia;Pakistan;Punjab Province;30.047, 72.331
Unit 1;Balingasag Power Station;"Cagayan Electric Power & Light [60.0%]; Vivant Corp [40.0%]";https://www.gem.wiki/Balingasag_power_station;;55;Operating;Asia;Philippines;Northern Mindanao;8.766, 124.767
;Bundagul Power Station;Anda Power Corp;https://www.gem.wiki/Bundagul_power_station;;84;Operating;Asia;Philippines;Central Luzon;15.23627, 120.60977
Unit 5;Calaca Power Station;Dmci Holdings;https://www.gem.wiki/Calaca_power_station;;350;Announced;Asia;Philippines;Calabarzon;13.93263, 120.78969
Unit 3;Concepcion Semirara Power Station;Dmci Holdings;https://www.gem.wiki/Concepcion_Semirara_power_station;;30;Cancelled;Asia;Philippines;Western Visayas;11.20494, 123.10239
Unit 4;Davao San Miguel Power Station;San Miguel Corp;https://www.gem.wiki/Davao_San_Miguel_power_station;;150;Cancelled;Asia;Philippines;Davao;6.39351, 125.61684
Unit 4;Davao Therma South Power Station;Aboitiz & Company Inc;https://www.gem.wiki/Davao_Therma_South_power_station;;172;Cancelled;Asia;Philippines;Davao;6.96444, 125.47972
;Isabela Power Station;Philippine National Oil Co;https://www.gem.wiki/Isabela_power_station;;100;Cancelled;Asia;Philippines;Cagayan Valley;16.94, 121.77
Unit 1;Jose Panganiban Power Station;H & Wb Asia Pacific;https://www.gem.wiki/Jose_Panganiban_power_station;;350;Shelved;Asia;Philippines;Bicol;14.3378, 122.67351
Unit 2;Kamanga Power Station;"Alcantara Group [37.5%]; Manila Electric Co [37.5%]; Toyota Group [25.0%]";https://www.gem.wiki/Kamanga_power_station;;105;Operating;Asia;Philippines;Soccsksarden;5.86868, 125.07982
Unit 1;La Union Power Station;Manila Electric Co;https://www.gem.wiki/La_Union_power_station;;335;Cancelled;Asia;Philippines;Ilocos;16.83588, 120.34247
Unit 5;Limay Power Station;San Miguel Corp;https://www.gem.wiki/Limay_power_station;;150;Cancelled;Asia;Philippines;Central Luzon;14.52041, 120.60268
Unit 2;Limay Power Station;San Miguel Corp;https://www.gem.wiki/Limay_power_station;;134;Operating;Asia;Philippines;Central Luzon;14.52041, 120.60268
Unit 1;Lumiere Ibabang Power Station;San Miguel Corp;https://www.gem.wiki/Lumiere_Ibabang_power_station;;355;Cancelled;Asia;Philippines;Calabarzon;13.91941, 121.741
Unit 5;Masinloc Power Station;San Miguel Corp;https://www.gem.wiki/Masinloc_power_station;;350;Pre-Permit;Asia;Philippines;Central Luzon;15.56384, 119.91915
Unit 3;Mindanao Steag Power Station;Steag State Power Inc;https://www.gem.wiki/Mindanao_Steag_power_station;;150;Cancelled;Asia;Philippines;Northern Mindanao;8.5725, 124.7573
Unit 2;Misamis Oriental Power Station;Filinvest Development Corp;https://www.gem.wiki/Misamis_Oriental_power_station;;135;Operating;Asia;Philippines;Northern Mindanao;8.56097, 124.74776
Unit 1-1;Naga Power Station;Aboitiz & Company Inc;https://www.gem.wiki/Naga_power_station;;50;Retired;Asia;Philippines;Central Visayas;10.21755, 123.76058
Unit 3-1;Naga Power Station;Aboitiz & Company Inc;https://www.gem.wiki/Naga_power_station;;100;Cancelled;Asia;Philippines;Central Visayas;10.21755, 123.76058
Unit 1;Pagbilao Power Station;"Aboitiz & Company Inc; Marubeni Corp; Tokyo Electric Power Co";https://www.gem.wiki/Pagbilao_power_station;;367;Operating;Asia;Philippines;Calabarzon;13.8932, 121.745
Unit 2;Pagbilao Power Station;"Aboitiz & Company Inc; Marubeni Corp; Tokyo Electric Power Co";https://www.gem.wiki/Pagbilao_power_station;;367;Operating;Asia;Philippines;Calabarzon;13.8932, 121.745
Unit 2;Panay Power Station;Manila Electric Co;https://www.gem.wiki/Panay_power_station;;82;Operating;Asia;Philippines;Western Visayas;10.72444, 122.59582
Unit 2;Petron Refinery Power Station;San Miguel Corp;https://www.gem.wiki/Petron_Refinery_power_station;;35;Operating;Asia;Philippines;Central Luzon;14.52905, 120.60108
Unit 3;Petron Refinery Power Station;San Miguel Corp;https://www.gem.wiki/Petron_Refinery_power_station;;35;Operating;Asia;Philippines;Central Luzon;14.52905, 120.60108
Unit 2;Puting Bato Power Station;"Phinma Group [45.0%]; Etm Philippines Holdings [35.0%]; Marubeni Corp [20.0%]";https://www.gem.wiki/Puting_Bato_power_station;;135;Operating;Asia;Philippines;Calabarzon;13.91933, 120.82605
Unit 2;Quezon Power Station;"Egco Group; Manila Electric Co";https://www.gem.wiki/Quezon_power_station;;528;Operating;Asia;Philippines;Calabarzon;14.2296, 121.7558
;San Carlos Power Station;San Miguel Corp;https://www.gem.wiki/San_Carlos_Power_Station;;300;Cancelled;Asia;Philippines;Western Visayas;10.4827, 123.41372
Unit 3;Smc Ibabang Power Station;San Miguel Corp;https://www.gem.wiki/SMC_Ibabang_power_station;;355;Cancelled;Asia;Philippines;Calabarzon;13.91941, 121.741
Phase Ii Unit 7;Smc Mariveles Power Station;San Miguel Corp [92.0%];https://www.gem.wiki/SMC_Mariveles_power_station;;150;Pre-Permit;Asia;Philippines;Central Luzon;14.44935, 120.43228
Phase Ii Unit 8;Smc Mariveles Power Station;San Miguel Corp [92.0%];https://www.gem.wiki/SMC_Mariveles_power_station;;150;Pre-Permit;Asia;Philippines;Central Luzon;14.44935, 120.43228
Unit 1;Sual Power Station;San Miguel Corp;https://www.gem.wiki/Sual_power_station;;647;Operating;Asia;Philippines;Ilocos;16.125, 120.10056
Unit 2;Subic Power Station;"Manila Electric Co [52.0%]; Aboitiz & Company Inc [24.0%]; Tcc Group [24.0%]";https://www.gem.wiki/Subic_power_station;;300;Cancelled;Asia;Philippines;Central Luzon;14.76744, 120.19429
;Sultan Kudarat Power Station;San Miguel Corp;https://www.gem.wiki/Sultan_Kudarat_power_station;;200;Cancelled;Asia;Philippines;Soccsksarden;6.55, 124.28333
;Zamboanga Power Station;"Alcantara Group; Manila Electric Co; Toyota Group";https://www.gem.wiki/Zamboanga_power_station;;120;Pre-Permit;Asia;Philippines;Zamboanga Peninsula;7.00368, 121.9237
Unit 1;Zest-O Power Station;"Zest-O Group [70.0%]; China Energy Engineering Corp Ltd [30.0%]";https://www.gem.wiki/Zest-O_power_station;;600;Cancelled;Asia;Philippines;Luzon;16.0, 121.0
Phase 2 Unit 1;Belchatow Power Station;Polska Grupa Energetyczna Sa;https://www.gem.wiki/Belchatow_power_station;;858;Operating;Europe;Poland;Lodzkie;51.26639, 19.33056
Phase 1 Unit 7;Belchatow Power Station;Polska Grupa Energetyczna Sa;https://www.gem.wiki/Belchatow_power_station;;390;Operating;Europe;Poland;Lodzkie;51.26639, 19.33056
Phase 1 Unit 8;Belchatow Power Station;Polska Grupa Energetyczna Sa;https://www.gem.wiki/Belchatow_power_station;;390;Operating;Europe;Poland;Lodzkie;51.26639, 19.33056
Ec1 Unit 1A;Bielsko-Biala Power Station;Tauron Polska Energia Sa;https://www.gem.wiki/Bielsko-Biala_power_station;;50;Operating;Europe;Poland;ÅlÄskie;49.8117, 19.05294
Unit 4;Blachownia Power Station;Tauron Polska Energia Sa;https://www.gem.wiki/Blachownia_power_station;;55;Retired;Europe;Poland;Opolskie;50.35574, 18.29124
Unit 6;Blachownia Power Station;Tauron Polska Energia Sa;https://www.gem.wiki/Blachownia_power_station;;55;Retired;Europe;Poland;Opolskie;50.35574, 18.29124
New Phase;Blachownia Power Station;"Kghm; Tauron Polska Energia Sa";https://www.gem.wiki/Blachownia_power_station;;910;Cancelled;Europe;Poland;ÅlÄskie;50.78333, 18.96667
Unit 1;Chorzow Elcho Power Station;Cez As;https://www.gem.wiki/Chorzow_Elcho_power_station;;113;Operating;Europe;Poland;ÅlÄskie;50.30746, 18.96946
Unit 2;Chorzow Elcho Power Station;Cez As;https://www.gem.wiki/Chorzow_Elcho_power_station;;113;Operating;Europe;Poland;ÅlÄskie;50.30746, 18.96946
;Czestochowa Chp Power Station;Fortum Oyj;https://www.gem.wiki/Czestochowa_CHP_power_station;;64;Operating;Europe;Poland;ÅlÄskie;50.8, 19.11667
Unit 4;Gdansk-2 Power Station;Polska Grupa Energetyczna Sa;https://www.gem.wiki/Gdansk-2_power_station;;58;Operating;Europe;Poland;Pomorskie;54.3782, 18.64128
Unit 4;Gorzow Power Station;Polska Grupa Energetyczna Sa;https://www.gem.wiki/Gorzow_power_station;;30;Retired;Europe;Poland;Lubuskie;52.7496, 15.2687
Phase 2, Unit 1;Jaworzno Power Station;Tauron Polska Energia Sa;https://www.gem.wiki/Jaworzno_power_station;;60;Operating;Europe;Poland;ÅlÄskie;50.21335, 19.22806
Phase 3, Unit 2;Jaworzno Power Station;Tauron Polska Energia Sa;https://www.gem.wiki/Jaworzno_power_station;;225;Operating;Europe;Poland;ÅlÄskie;50.20724, 19.20531
Unit 1;Katowice Pke Power Station;Tauron Polska Energia Sa;https://www.gem.wiki/Katowice_PKE_power_station;;135;Operating;Europe;Poland;ÅlÄskie;50.28568, 19.05438
Unit 5;Kozienice Power Station;Enea Sa;https://www.gem.wiki/Kozienice_power_station;;225;Operating;Europe;Poland;Mazowieckie;51.66703, 21.46198
Unit 6;Kozienice Power Station;Enea Sa;https://www.gem.wiki/Kozienice_power_station;;228;Operating;Europe;Poland;Mazowieckie;51.66703, 21.46198
Unit 10;Laziska Power Station;Tauron Polska Energia Sa;https://www.gem.wiki/Laziska_power_station;;225;Operating;Europe;Poland;ÅlÄskie;50.13453, 18.84435
Unit 11;Laziska Power Station;Tauron Polska Energia Sa;https://www.gem.wiki/Laziska_power_station;;225;Operating;Europe;Poland;ÅlÄskie;50.13453, 18.84435
Unit 1;Lodz-2 Power Station;Veolia Environnement Sa;https://www.gem.wiki/Lodz-2_power_station;;87;Retired;Europe;Poland;Lodzkie;51.74202, 19.44875
Unit 1;Lodz-4 Power Station;Veolia Environnement Sa;https://www.gem.wiki/Lodz-4_power_station;;55;Operating;Europe;Poland;Lodzkie;51.74565, 19.53964
Unit 1;Lublin Power Station;"Engie Sa; Polska Grupa Energetyczna Sa";https://www.gem.wiki/Lublin_Power_Station;;800;Cancelled;Europe;Poland;Lubelskie;51.20999, 22.55412
;Murcki-Staszic Power Station;Katowicki Holding WÄglowy;https://www.gem.wiki/Murcki-Staszic_power_station;;40;Cancelled;Europe;Poland;Silesia;50.18056, 19.00722
