province,year,gem_coal_new_capacity_mw,gem_source_release,gem_source_table,gem_scope_flag
Gansu,2004,300,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2005,675,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2006,770,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2007,2365,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2008,1200,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2009,1980,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2010,1860,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2011,1980,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2012,700,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2013,1030,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2014,330,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2015,1050,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
Gansu,2016,650,"Global Coal Plant Tracker, January 2026",Newly Operating Coal Plants in China by Year (MW),Coal-fired generating units >=30 MW; Xizang absent in source and coded zero
