province,year,wind_resource_cf_0110,wind_technical_capacity_gw_lower,wind_technical_output_twh_lower,solar_resource_cf_0110,solar_technical_capacity_gw_lower,solar_technical_output_twh_lower,wind_resource_cf_z,solar_resource_cf_z,natural_wind_solar_endowment,clean_generation_billion_kwh,clean_generation_component_n,clean_generation_share_recalc,clean_generation_lq,clean_generation_kwh_per_cny_gdp,clean_capacity_10k_kw,clean_capacity_component_n,clean_capacity_share_recalc,clean_capacity_lq,clean_capacity_addition_10k_kw,clean_capacity_addition_component_n,clean_capacity_addition_per_gdp,clean_capacity_addition_data_break_flag,pre_clean_generation_lq_0811,pre_clean_generation_lq_0811_n,early_clean_generation_lq_1316,early_clean_generation_lq_1316_n
Yunnan,2019,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,29.347,2,0.08467109059434506,1.0077372004309992,0.012278000677764717,1209.0,2,0.12567567567567567,0.7757261771712375,29.0,2,0.0012132825149254668,0,,0,0.8489038136471154,4
Yunnan,2020,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,29.987000000000002,2,0.08161948829613501,0.8729423047493289,0.011892760118185965,1231.0,2,0.11991038379115528,0.6234389000873487,22.0,2,0.0008725138313272125,0,,0,0.8489038136471154,4
Yunnan,2021,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,28.662,2,0.0760218872588675,0.6607760561360129,0.010274848799803235,933.2,2,0.08774800188058299,0.47833322012149554,,1,,1,,0,0.8489038136471154,4
Yunnan,2022,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,26.921,2,0.0670235146203926,0.4984018995191871,0.00918770967642853,972.1,2,0.08697324863559094,0.42603687673490853,38.9,2,0.0013275952097361533,0,,0,0.8489038136471154,4
Yunnan,2023,0.1574,8.13,11.21,0.2394,67.0,140.0,0.13496026825696028,1.511952552931698,0.8234564105943292,42.543,2,0.10248832148070096,0.6592967765333956,0.013904849230781701,1664.9,2,0.12559595654797828,0.5274196483251637,692.8,2,0.022643630085056442,0,,0,0.8489038136471154,4
Neimenggu,2000,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2001,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2002,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2003,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2004,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2005,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2006,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2007,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2008,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2009,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2010,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2011,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2012,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,,0,,,,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2013,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,36.67,1,0.10279939545993913,4.479852393006419,0.0316532727947587,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2014,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,34.81,1,0.0875250590423091,3.591784746451481,0.02812406583018914,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2015,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,35.74,1,0.09096991133148234,3.1370709199508706,0.027360346635840985,,0,,,,0,,0,,0,3.0237852776831944,4
Neimenggu,2016,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,1.294,2,0.003276110269719576,0.8864330513240072,0.0009323438288061101,2557.0,1,0.23150746944318695,2.0699399022037186,,0,,0,,0,3.0237852776831944,4
Neimenggu,2017,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,65.119,2,0.14756174937684113,2.4148881322586218,0.04338403320475154,2670.0,1,0.22577371892440384,1.6970891572522953,113.0,1,0.007528364612688959,0,,0,3.0237852776831944,4
Neimenggu,2018,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,76.01899999999999,2,0.15323321910905058,2.0204037758476816,0.04677257597105747,2868.0,1,0.23345543345543346,1.553350283904429,198.0,1,0.012182441287401018,0,,0,3.0237852776831944,4
Neimenggu,2019,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,82.86,2,0.1507916287534122,1.7946896956414429,0.047404373147819714,2920.0,1,0.225813935503828,1.3938240633965473,52.0,1,0.0029749304896049063,0,,0,3.0237852776831944,4
Neimenggu,2020,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,91.242,2,0.15701600413009809,1.6793282509999337,0.051773210617701466,3786.0,1,0.2586242229660496,1.3446408559805825,866.0,1,0.049139212637743,0,,0,3.0237852776831944,4
Neimenggu,2021,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,117.911,2,0.1926672363899587,1.6746479362564348,0.05462686452379154,4098.5,2,0.2646413120681862,1.442616678052978,210.0,1,0.00972906815309532,0,,0,3.0237852776831944,4
Neimenggu,2022,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,132.168,2,0.1996733749193635,1.484816036683017,0.055542810488567705,4689.2,2,0.27457547722215714,1.3450029817082736,590.7,2,0.024823813748862767,0,,0,3.0237852776831944,4
Neimenggu,2023,0.22201368547418965,291.55,566.99,0.2056703862660944,1398.0,2518.0,1.328536536344825,0.41896826360659367,0.8737523999757093,164.515,2,0.21561762196371792,1.3870458708921694,0.0657520832917008,7141.9,2,0.33381163823323207,1.4017873001871897,2452.7,2,0.0980276173537699,0,,0,3.0237852776831944,4
Beijing,2000,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2001,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2002,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2003,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2004,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2005,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2006,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2007,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2008,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2009,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2010,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2011,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2012,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,,0,,,,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2013,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,0.33,1,0.009821042744749313,0.42798716514854485,0.00015175204635335234,,0,,,,0,,0,,0,0.8610178085530017,4
Beijing,2014,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,0.28,1,0.007591112325689083,0.3115181155928135,0.00011875728978899376,17.48,2,0.016036697247706424,0.2837871022357071,,0,,0,,0,0.8610178085530017,4
Beijing,2015,0.1044,0.37,0.34,0.1865,4.0,7.0,-0.8440822015295106,-0.20223455165341878,-0.5231583765914647,0.26,1,0.006177463451964106,0.21302802949428948,9.986901794185319e-05,22.59,2,0.02080110497237569,0.28289933064244455,5.11,2,0.0001962810314164884,0,,0,0.8610178085530017,4
