province,year,policy_count,docs_with_content,content_coverage,content_chars,green_finance,green_finance_doc_count,green_finance_per_10k_chars,green_finance_doc_share,green_finance_per_policy,coal_clean,coal_clean_doc_count,coal_clean_per_10k_chars,coal_clean_doc_share,coal_clean_per_policy,pollution_control,pollution_control_doc_count,pollution_control_per_10k_chars,pollution_control_doc_share,pollution_control_per_policy,renewable,renewable_doc_count,renewable_per_10k_chars,renewable_doc_share,renewable_per_policy
内蒙古,2010,64,64,1.00000000,293955,11,5,0.37420694,0.07812500,0.17187500,118,16,4.01421986,0.25000000,1.84375000,15,7,0.51028219,0.10937500,0.23437500,67,9,2.27926043,0.14062500,1.04687500
内蒙古,2011,70,70,1.00000000,277657,5,3,0.18007830,0.04285714,0.07142857,74,12,2.66515881,0.17142857,1.05714286,120,8,4.32187915,0.11428571,1.71428571,45,7,1.62070468,0.10000000,0.64285714
内蒙古,2012,52,52,1.00000000,222968,10,6,0.44849485,0.11538462,0.19230769,35,12,1.56973198,0.23076923,0.67307692,11,6,0.49334434,0.11538462,0.21153846,25,5,1.12123713,0.09615385,0.48076923
内蒙古,2013,96,96,1.00000000,440393,25,11,0.56767478,0.11458333,0.26041667,173,23,3.92830949,0.23958333,1.80208333,70,13,1.58948939,0.13541667,0.72916667,44,15,0.99910762,0.15625000,0.45833333
内蒙古,2014,201,201,1.00000000,818537,59,25,0.72079820,0.12437811,0.29353234,766,35,9.35815974,0.17412935,3.81094527,206,15,2.51668526,0.07462687,1.02487562,174,15,2.12574386,0.07462687,0.86567164
内蒙古,2015,262,262,1.00000000,1263702,59,35,0.46688222,0.13358779,0.22519084,163,29,1.28986106,0.11068702,0.62213740,108,22,0.85463187,0.08396947,0.41221374,200,19,1.58265161,0.07251908,0.76335878
内蒙古,2016,301,301,1.00000000,1380972,117,51,0.84722934,0.16943522,0.38870432,167,39,1.20929316,0.12956811,0.55481728,205,39,1.48446167,0.12956811,0.68106312,399,41,2.88926930,0.13621262,1.32558140
内蒙古,2017,258,258,1.00000000,1315814,264,44,2.00636260,0.17054264,1.02325581,220,38,1.67196883,0.14728682,0.85271318,241,32,1.83156586,0.12403101,0.93410853,157,31,1.19317776,0.12015504,0.60852713
内蒙古,2018,155,155,1.00000000,622038,37,11,0.59481897,0.07096774,0.23870968,130,15,2.08990448,0.09677419,0.83870968,102,16,1.63977120,0.10322581,0.65806452,172,28,2.76510438,0.18064516,1.10967742
内蒙古,2019,104,104,1.00000000,386175,8,5,0.20715997,0.04807692,0.07692308,28,10,0.72505988,0.09615385,0.26923077,53,7,1.37243478,0.06730769,0.50961538,28,11,0.72505988,0.10576923,0.26923077
内蒙古,2020,126,126,1.00000000,513491,11,8,0.21421992,0.06349206,0.08730159,317,28,6.17342855,0.22222222,2.51587302,50,16,0.97372690,0.12698413,0.39682540,20,7,0.38949076,0.05555556,0.15873016
内蒙古,2021,160,160,1.00000000,561608,28,11,0.49856840,0.06875000,0.17500000,27,12,0.48076238,0.07500000,0.16875000,61,18,1.08616686,0.11250000,0.38125000,490,24,8.72494694,0.15000000,3.06250000
内蒙古,2022,158,158,1.00000000,808855,57,26,0.70469985,0.16455696,0.36075949,201,23,2.48499422,0.14556962,1.27215190,137,11,1.69375228,0.06962025,0.86708861,762,34,9.42072436,0.21518987,4.82278481
内蒙古,2023,107,107,1.00000000,450983,8,6,0.17739028,0.05607477,0.07476636,414,18,9.17994692,0.16822430,3.86915888,186,10,4.12432398,0.09345794,1.73831776,914,18,20.26683933,0.16822430,8.54205607
