region_cn,year,wind_utilization_rate,wind_curtailment_rate,solar_utilization_rate,solar_curtailment_rate,wind_source_report_year,solar_source_report_year
山东,2023,0.976,0.02400000000000002,0.993,0.007000000000000006,2023,2023
山西,2023,0.9890000000000001,0.010999999999999899,0.9890000000000001,0.010999999999999899,2023,2023
广东,2023,0.996,0.0040000000000000036,0.9990000000000001,0.0009999999999998899,2023,2023
广西,2023,1.0,0.0,1.0,0.0,2023,2023
新疆,2023,0.958,0.04200000000000004,0.9690000000000001,0.030999999999999917,2023,2023
江苏,2023,1.0,0.0,1.0,0.0,2023,2023
江西,2023,1.0,0.0,0.9990000000000001,0.0009999999999998899,2023,2023
河北,2023,0.943,0.05700000000000005,0.975,0.025000000000000022,2023,2023
河南,2023,0.968,0.03200000000000003,0.977,0.02300000000000002,2023,2023
浙江,2023,1.0,0.0,1.0,0.0,2023,2023
海南,2023,0.9990000000000001,0.0009999999999998899,0.998,0.0020000000000000018,2023,2023
湖北,2023,0.99,0.010000000000000009,0.983,0.017000000000000015,2023,2023
湖南,2023,0.997,0.0030000000000000027,1.0,0.0,2023,2023
甘肃,2023,0.95,0.050000000000000044,0.95,0.050000000000000044,2023,2023
福建,2023,1.0,0.0,1.0,0.0,2023,2023
蒙东,2023,0.9670000000000001,0.03299999999999992,0.987,0.013000000000000012,2023,2023
蒙西,2023,0.932,0.06799999999999995,0.966,0.03400000000000003,2023,2023
西藏,2023,1.0,0.0,0.78,0.21999999999999997,2023,2023
贵州,2023,0.997,0.0030000000000000027,0.9940000000000001,0.005999999999999894,2023,2023
辽宁,2023,0.98,0.020000000000000018,0.993,0.007000000000000006,2023,2023
重庆,2023,1.0,0.0,1.0,0.0,2023,2023
陕西,2023,0.968,0.03200000000000003,0.965,0.03500000000000003,2023,2023
青海,2023,0.9420000000000001,0.05799999999999994,0.914,0.08599999999999997,2023,2023
黑龙江,2023,0.986,0.014000000000000012,0.991,0.009000000000000008,2023,2023
