uid,province_id,province,year,co2_emissions,gdp,sec_val,green_invention_patents,green_utility_patents,credit,bond,investment,insurance,equity,fund,carbon_finance,gf_index,green_finance_pilot,ln_gdp,ln_co2,z_green_invention_patents,z_green_utility_patents,z_credit,z_bond,z_investment,z_insurance,z_equity,z_fund,z_carbon_finance,factor_1,factor_2,factor_3,coal_share_pctg,population,urban_population,urbanization_rate,env_expenditure,env_exp_share,treat,event_time,pre_2,post_0,post_1,post_2,did_pre2,did_post0,did_post1,did_post2,sec_pctg,industrial_wastewater,industrial_so2,industrial_solid_waste,gtfp_level,gml_index,market_index,market_gov_relation,market_npoe_dev,market_product_dev,market_factor_dev,market_legal_env
1314,18,Hebei,2014,802650752,25644.1,11476.9,728,1233,0.037999999,0.121,0.061000001,0.075000003,0.064000003,0.052000001,1.382,0.32699999,0,10.152069,20.503429,-0.3143276,-0.20330349,0.21201079,0.50897962,-0.4110679,1.0975714,0.63130224,0.22722276,-0.48159003,0.40030026,-0.079213984,-0.51911968,0.65946436,7323.0,3642.3999,0.49739179,193.43221,0.041355543,0,-7,0,0,0,0,0,0,0,0,0.44754547,108562.0,104.735,145.072,1.502399727,0.944274265,6.969,6.888,10.841,7.065,7.095,5.658
1315,18,Hebei,2015,763994112,26744.1,11519.5,1056,1789,0.037,0.118,0.052999999,0.107,0.061999999,0.056000002,1.201,0.287,0,10.194069,20.454071,-0.23455757,-0.069402918,0.089545049,0.38304657,-0.42742336,2.0677207,0.47006309,0.59353632,-0.51074332,0.3176569,0.32230839,-0.58590686,0.63712877,7345.0,3811.21,0.51888496,282.72,0.050197169,0,-6,0,0,0,0,0,0,0,0,0.43073052,94110.0,82.941,111.105,1.497598199,0.996804094,7.592,8.466,11.04,7.05,6.623,7.338
1316,18,Hebei,2016,748779584,28879.699,12332.3,1551,2554,0.041000001,0.127,0.052999999,0.098999999,0.063000001,0.056000002,1.125,0.28600001,0,10.270894,20.433956,-0.1141729,0.11483078,0.57940894,0.76084602,-0.42742336,1.8251834,0.55068266,0.59353632,-0.52298445,0.56386453,0.30862695,-0.51218569,0.61918795,7375.0,3983.0,0.54006779,262.79999,0.043441392,0,-5,0,0,0,0,0,0,0,0,0.42702314,67790.0,47.286,61.294,1.65260026,1.103500433,7.201,6.633,9.942,6.114,6.218,7.098
1317,18,Hebei,2017,754433728,31065.5,12778.0,1688,3189,0.045000002,0.126,0.046,0.146,0.064999998,0.057999998,1.12,0.333,1,10.343853,20.441479,-0.080854312,0.26775679,1.0692729,0.71886826,-0.44173437,3.2500904,0.71192122,0.77669269,-0.52378982,0.69966334,0.77759284,-0.54956239,0.58856487,7409.0,4136.4902,0.5583061,353.45001,0.053236995,0,-4,0,0,0,0,0,0,0,0,0.41132447,44325.0,35.142,37.052,2.040022222,1.234431745,7.637,6.551,11.008,6.114,7.518,6.996
1318,18,Hebei,2018,796202816,32947.0,12904.1,2189,3783,0.046,0.134,0.061999999,0.162,0.07,0.059999999,1.0880001,0.391,1,10.402656,20.495365,0.040989559,0.41080886,1.1917386,1.0546899,-0.40902346,3.7351651,1.1150185,0.95984948,-0.52894396,0.94760811,0.96746314,-0.49576539,0.57330799,7426.0,4263.8501,0.57417858,433.54999,0.056114197,0,-3,0,0,0,0,0,0,0,0,0.39166236,38000.0,26.812,35.038,1.959937818,0.960743367,8.104,6.407,10.827,6.114,9.053,8.119
1319,18,Hebei,2019,828197184,35623.5,13600.9,2459,5159,0.048,0.14399999,0.068000004,0.19400001,0.074000001,0.059,1.276,0.42199999,1,10.480761,20.534761,0.10665392,0.74218869,1.4366705,1.4744666,-0.39675689,4.7053146,1.4374962,0.86827129,-0.49866322,1.113793,1.3861656,-0.46079388,0.56980795,7447.0,4374.0,0.58735061,502.49719,0.060475972,0,-2,1,0,0,0,0,0,0,0,0.38179573,31053.31,23.061,34.184,2.090672546,1.066703508,8.493,6.727,10.956,3.546,10.381,10.855
1320,18,Hebei,2020,826743296,36821.5,13938.0,2841,7058,0.044,0.145,0.057,0.152,0.078000002,0.064999998,1.306,0.43799999,1,10.513837,20.533005,0.19955684,1.1995218,0.94680667,1.5164443,-0.41924563,3.4319932,1.7599739,1.4177412,-0.49383119,1.2316892,1.2008742,-0.34594759,0.56726813,7463.8398,4483.5298,0.6007002,509.26819,0.056442406,0,-1,0,0,0,0,0,0,0,0,0.37852886,29851.54,12.279,16.818,2.132987046,1.020239659,8.493,6.727,10.956,3.546,10.381,10.855
1321,18,Hebei,2021,820615040,41205.398,16450.801,3130,6038,0.046,0.138,0.064999998,0.106,0.075000003,0.064000003,1.156,0.28400001,1,10.626325,20.525564,0.26984203,0.95387679,1.1917386,1.2226005,-0.40289018,2.0374036,1.5181158,1.3261634,-0.51799136,1.2087235,0.71250314,-0.29547837,0.50799215,7448.0,4554.0,0.61143929,351.64981,0.039742488,0,0,0,1,0,0,0,0,0,0,0.39923897,30666.02,12.74,12.81,2.550627831,1.195800901,8.493,6.727,10.956,3.546,10.381,10.855
1322,18,Hebei,2022,786684032,43198.301,16406.699,3514,5106,0.046999998,0.13600001,0.066,0.106,0.074000001,0.063000001,1.0700001,0.271,1,10.673556,20.483337,0.36323133,0.72942477,1.3142043,1.1386455,-0.40084577,2.0374036,1.4374962,1.2345848,-0.53184319,1.1846159,0.66294283,-0.31498232,0.500862,7420.0,4575.0,0.61657679,318.63181,0.034240711,0,1,0,0,1,0,0,0,0,0,0.37979963,26093.919,12.44,17.451,2.429186101,0.952387515,8.493,6.727,10.956,3.546,10.381,10.855
1323,18,Hebei,2023,810303168,45660.0,17112.199,4066,5253,0.046,0.13500001,0.068000004,0.107,0.074000001,0.061999999,1.0,0.25799999,1,10.728978,20.512918,0.49747849,0.76482654,1.1917386,1.0966678,-0.39675689,2.0677207,1.4374962,1.1430062,-0.54311794,1.0914816,0.77095658,-0.3211346,,7393.0,4641.0,0.627756,320.60001,0.033374242,0,2,0,0,0,1,0,0,0,0,0.3747744,23301.83,10.241,24.846,2.374527348,0.97749915,8.493,6.727,10.956,3.546,10.381,10.855
4100,19,Henan,2000,223754240,5097.2998,2282.5,55,81,0.022,0.068000004,0.094999999,0.022,0.035,0.032000002,2.5209999,0.27500001,0,8.5364666,19.226059,-0.4780021,-0.48073778,-1.7474444,-1.7158384,-0.34155726,-0.50923884,-1.706661,-1.6043446,-0.29813367,-1.8374799,-0.085733034,-0.70786136,,9488.0,,,,,0,-21,0,0,0,0,0,0,0,0,0.44778609,109210.0,74.738,150.835,1.0,1.0,4.325,5.4,4.262,5.997,3.114,1.56
4101,19,Henan,2001,241104224,5586.6001,2497.7,49,79,0.023,0.074000001,0.107,0.012,0.039999999,0.034000002,2.9590001,0.30199999,0,8.6281261,19.300739,-0.47946131,-0.48121941,-1.6249784,-1.4639723,-0.31702411,-0.81241053,-1.303564,-1.4211878,-0.22758591,-1.5465244,-0.253131,-0.59625417,,9555.0,,,,,0,-20,0,0,0,0,0,0,0,0,0.44708765,110152.0,75.994,117.108,1.045394066,1.045394066,3.953,5.234,4.455,5.556,2.962,1.206
4102,19,Henan,2002,257188784,6094.2002,2881.6001,52,117,0.025,0.075000003,0.092,0.015,0.035999998,0.035,2.2920001,0.211,0,8.7150927,19.36532,-0.47873172,-0.47206795,-1.3800464,-1.4219946,-0.34769055,-0.72145903,-1.6260417,-1.3296096,-0.33501822,-1.5405515,-0.23582336,-0.66952133,,9613.0,,,,,0,-19,0,0,0,0,0,0,0,0,0.47284302,114431.0,80.735,130.554,1.125101088,1.07624591,4.049,6.042,5.163,4.696,3.136,1.219
4103,19,Henan,2003,297991136,7017.1001,3348.6001,65,139,0.025,0.083999999,0.090000004,0.022,0.043000001,0.035999998,2.046,0.347,0,8.8561049,19.512575,-0.47557008,-0.46676973,-1.3800464,-1.0441954,-0.35177943,-0.50923884,-1.0617056,-1.2380314,-0.37464091,-1.259388,-0.25279227,-0.65939587,0.58963245,9667.0,,,,,0,-18,0,0,0,0,0,0,0,0,0.47720569,114224.0,90.169,136.749,1.192774849,1.06014905,4.669,6.911,6.063,5.563,3.589,1.276
4104,19,Henan,2004,362742656,8493.5,4080.7,77,155,0.027000001,0.083999999,0.097999997,0.017999999,0.046999998,0.039000001,1.933,0.33500001,0,9.0470562,19.709204,-0.47265169,-0.46291646,-1.1351144,-1.0441954,-0.33542398,-0.63050753,-0.73922813,-0.96329606,-0.39284161,-1.0137346,-0.35755619,-0.61197191,0.5974676,9717.0,,,,,0,-17,0,0,0,0,0,0,0,0,0.48044974,117328.0,111.3,142.5,1.251018591,1.048830457,5.401,7.944,7.11,6.672,4.002,1.705
4105,19,Henan,2005,411795168,10199.5,5063.6001,133,224,0.029999999,0.088,0.090999998,0.02,0.045000002,0.043000001,1.641,0.37099999,0,9.230094,19.836037,-0.45903242,-0.44629931,-0.76771677,-0.8762846,-0.34973499,-0.56987321,-0.90046668,-0.59698254,-0.43987343,-0.81107849,-0.39105925,-0.60910445,0.65525794,9380.0,2874.97,0.30649999,,,0,-16,0,0,0,0,0,0,0,0,0.49645573,123476.0,147.1,156.1,1.443114085,1.15355127,6.557,8.741,7.889,9.074,5.375,3.064
4106,19,Henan,2006,456193024,11974.6,6198.6001,193,245,0.029999999,0.092,0.077,0.024,0.048,0.041999999,1.271,0.366,0,9.390543,19.938427,-0.44444034,-0.44124192,-0.76771677,-0.70837373,-0.37835702,-0.44860449,-0.65860856,-0.68856108,-0.49946854,-0.73332423,-0.37535948,-0.64934039,0.66767371,9392.0,3049.5801,0.32469973,,,0,-15,0,0,0,0,0,0,0,0,0.51764572,130158.0,146.4,128.9,1.567235478,1.086009412,7.137,8.782,8.51,9.547,5.78,3.075
4107,19,Henan,2007,501769728,14773.2,7696.5,181,333,0.028999999,0.096000001,0.061999999,0.017000001,0.046999998,0.041000001,1.1059999,0.2,0,9.6005697,20.033651,-0.44735873,-0.42004901,-0.89018273,-0.54046291,-0.40902346,-0.66082466,-0.73922813,-0.78013927,-0.52604479,-0.76522177,-0.426994,-0.67507333,0.64654166,9360.0,3214.22,0.34339958,60.919102,0.032566376,0,-14,0,0,0,0,0,0,0,0,0.52097714,134344.317,141.02,105.203,1.766200654,1.126952956,7.287,8.84,8.909,9.603,6.006,3.287
4108,19,Henan,2008,518063552,17541.9,9319.4004,329,510,0.035,0.096000001,0.054000001,0.030999999,0.050000001,0.043000001,1.243,0.30599999,0,9.7723475,20.065609,-0.41136494,-0.37742239,-0.15538691,-0.54046291,-0.42537892,-0.2363843,-0.49736974,-0.59698254,-0.50397843,-0.4665862,-0.34930485,-0.6337195,0.63512415,9429.0,3397.27,0.36030012,75.850998,0.033244517,0,-13,0,0,0,0,0,0,0,0,0.53126514,133144.0,128.062,81.894,1.888384776,1.069179072,7.133,8.69,9.293,8.636,6.421,4.095
4109,19,Henan,2009,542281280,19077.1,9975.2998,341,635,0.030999999,0.096000001,0.045000002,0.037999999,0.052000001,0.045000002,1.072,0.182,0,9.8562441,20.111296,-0.40844652,-0.34731886,-0.6452508,-0.54046291,-0.44377878,-0.024164131,-0.33613086,-0.41382575,-0.53152108,-0.52341503,-0.26018724,-0.67907703,0.64026445,9487.0498,3576.6201,0.37700021,92.976196,0.031997174,0,-12,0,0,0,0,0,0,0,0,0.52289397,140324.565,117.597,76.966,1.758723339,0.931337385,7.403,8.616,9.851,8.636,6.477,4.562
